7013 -3.6 0 881.712
0.0325500 0.9693735 28.3049530 28.3049530 91.3833547
0.0357000 0.9661702 30.9915178 30.9915178 91.4973526
0.0399000 0.9621977 34.5594066 34.5594066 91.6344714
0.0451500 0.9567320 38.9991487 38.9991487 91.8029315
0.0504000 0.9521070 43.4136724 43.4136724 91.9740118
0.0567000 0.9466531 48.6848521 48.6848521 92.1556012
0.0640500 0.9402282 54.7958996 54.7958996 92.3546696
0.0714000 0.9351189 60.8700776 60.8700776 92.5859651
0.0798000 0.9280452 67.7652715 67.7652715 92.8045894
0.0892500 0.9218704 75.4710503 75.4710503 93.0554597
0.1008000 0.9128179 84.8066224 84.8066224 93.3526651
0.1123500 0.9050883 94.0587607 94.0587607 93.6215458
0.1260000 0.8960839 104.8971029 104.8971029 93.9013096
0.1417500 0.8868130 117.2704041 117.2704041 94.2101518
0.1585500 0.8742875 130.3075563 130.3075563 94.4667447
0.1785000 0.8631759 145.5865855 145.5865855 94.7754373
0.2005500 0.8506943 162.2328628 162.2328628 95.0703054
0.2247000 0.8369612 180.1800828 180.1800828 95.3329473
0.2520000 0.8234343 200.1526897 200.1526897 95.6031744
0.2824500 0.8080676 222.0520780 222.0520780 95.8486629
0.3171000 0.7933510 246.5103091 246.5103091 96.0914628
0.3549000 0.7778961 272.6876951 272.6876951 96.3552815
0.3990000 0.7625274 302.6271579 302.6271579 96.6396801
0.4473000 0.7453766 334.7409043 334.7409043 96.8414641
0.5019000 0.7295886 370.2608059 370.2608059 97.0483677
0.5628000 0.7123124 408.9576779 408.9576779 97.2742095
0.6310500 0.6914981 451.1658123 451.1658123 97.4784689
0.7087500 0.6752888 498.0158019 498.0158019 97.6117772
0.7948500 0.6556905 548.5107760 548.5107760 97.7158856
0.8914500 0.6382118 603.5698772 603.5698772 97.8562960
1.0006500 0.6159203 663.9554848 663.9554848 97.8929425
1.1227651 0.5969920 729.3097194 729.3097194 98.0467277
1.2594751 0.5833686 800.3158023 800.3158023 98.2436785
1.4127226 0.5639792 877.6954208 877.6954208 98.2612428
1.5858151 0.5449570 962.2477914 962.2477914 98.3636443
1.7787526 0.5295176 1053.7000809 1053.7000809 98.4102677
1.9959451 0.5113809 1153.3698442 1153.3698442 98.5712348
2.2393220 0.5000206 1261.7434006 1261.7434006 98.5992760
2.5125215 0.4901367 1381.2064483 1381.2064483 98.6676309
2.8192921 0.4712371 1510.7510193 1510.7510193 98.7493520
3.1631068 0.4523344 1650.7539822 1650.7539822 98.8064749
