7006 -99 0 890.49
0.0325500 0.9728234 28.5145473 28.5145473 89.5743978
0.0357000 0.9706954 31.2393774 31.2393774 89.5567516
0.0399000 0.9678805 34.8632478 34.8632478 89.5336050
0.0451500 0.9643985 39.3783780 39.3783780 89.5052684
0.0504000 0.9609564 43.8773420 43.8773420 89.4775742
0.0567000 0.9568781 49.2550204 49.2550204 89.4451593
0.0640500 0.9521919 55.5003192 55.5003192 89.4084257
0.0714000 0.9475795 61.7152243 61.7152243 89.3728090
0.0798000 0.9423964 68.7813647 68.7813647 89.3334077
0.0892500 0.9366729 76.6849199 76.6849199 89.2906594
0.1008000 0.9298321 86.2802310 86.2802310 89.2405496
0.1123500 0.9231580 95.8061241 95.8061241 89.1926429
0.1260000 0.9154733 106.9767705 106.9767705 89.1386693
0.1417500 0.9068700 119.7518151 119.7518151 89.0796808
0.1585500 0.8979858 133.2478337 133.2478337 89.0203208
0.1785000 0.8878170 149.1051166 149.1051166 88.9541667
0.2005500 0.8770349 166.4260212 166.4260212 88.8859794
0.2247000 0.8657415 185.1593167 185.1593167 88.8165956
0.2520000 0.8535760 206.0510154 206.0510154 88.7440654
0.2824500 0.8407062 229.0140018 229.0140018 88.6696513
0.3171000 0.8268846 254.7325442 254.7325442 88.5921961
0.3549000 0.8127338 282.3185262 282.3185262 88.5152472
0.3990000 0.7973299 313.9217258 313.9217258 88.4339452
0.4473000 0.7816748 347.8671578 347.8671578 88.3537408
0.5019000 0.7653242 385.4622597 385.4622597 88.2723841
0.5628000 0.7485433 426.4970853 426.4970853 88.1913326
0.6310500 0.7313290 471.4514572 471.4514572 88.1105239
0.7087500 0.7135108 521.4180397 521.4180397 88.0290870
0.7948500 0.6956451 575.4187729 575.4187729 87.9495224
0.8914500 0.6775990 634.4606760 634.4606760 87.8710509
1.0006500 0.6593178 699.4374424 699.4374424 87.7933747
1.1227651 0.6410842 770.1139041 770.1139041 87.7175716
1.2594751 0.6229342 847.0229185 847.0229185 87.6437213
1.4127226 0.6049365 930.7695555 930.7695555 87.5718627
1.5858151 0.5870404 1022.5949003 1022.5949003 87.5015920
1.7787526 0.5695322 1121.9077615 1121.9077615 87.4339165
1.9959451 0.5523247 1230.3493207 1230.3493207 87.3681737
2.2393220 0.5355185 1348.1801442 1348.1801442 87.3046658
2.5125215 0.5191236 1476.4122421 1476.4122421 87.2432725
2.8192921 0.5031679 1615.9834345 1615.9834345 87.1839774
3.1631068 0.4877198 1767.6051337 1767.6051337 87.1268500
3.5483644 0.4727840 1932.2928436 1932.2928436 87.0718170
3.9810846 0.4583160 2111.6074057 2111.6074057 87.0186818
4.4672872 0.4443380 2306.9296388 2306.9296388 86.9673861
5.0118948 0.4308918 2519.0688182 2519.0688182 86.9180253
5.6245099 0.4179103 2750.4909737 2750.4909737 86.8703372
6.3098094 0.4054908 3001.6292226 3001.6292226 86.8244776
7.0803644 0.3935120 3275.6411844 3275.6411844 86.7800943
7.9440561 0.3820423 3573.7616084 3573.7616084 86.7371743
8.9125633 0.3710367 3898.3759476 3898.3759476 86.6955595
10.0014481 0.3604571 4252.8793389 4252.8793389 86.6550194
11.2210876 0.3503238 4638.7103354 4638.7103354 86.6155525
12.5894367 0.3406114 5059.5010924 5059.5010924 86.5769221
14.1269504 0.3312587 5519.2720628 5519.2720628 86.5389314
15.8491767 0.3222918 6020.2411191 6020.2411191 86.5016107
17.7840324 0.3136778 6567.9253496 6567.9253496 86.4647555
19.9529062 0.3053897 7165.5273143 7165.5273143 86.4282671
22.3872322 0.2974406 7818.6905510 7818.6905510 86.3919557
25.1199938 0.2897928 8532.9613858 8532.9613858 86.3556522
28.1840786 0.2824192 9313.3518602 9313.3518602 86.3192991
31.6237393 0.2753453 10167.2722158 10167.2722158 86.2829210
35.4826072 0.2685491 11101.4582547 11101.4582547 86.2462678
39.8132470 0.2619506 12124.0456936 12124.0456936 86.2089071
44.6694872 0.2555886 13242.7270389 13242.7270389 86.1703856
50.1205675 0.2493861 14467.9930467 14467.9930467 86.1302444
56.2377471 0.2433158 15809.5413553 15809.5413553 86.0882415
63.0967693 0.2373594 17277.0665891 17277.0665891 86.0446756
70.7954662 0.2315756 18883.9957565 18883.9957565 85.9988187
79.4340106 0.2259525 20643.2587276 20643.2587276 85.9505988
89.1259377 0.2205255 22569.2275437 22569.2275437 85.8990889
100.0026275 0.2151765 24678.7090272 24678.7090272 85.8441098
112.2074471 0.2099679 26988.2045680 26988.2045680 85.7843111
125.8964104 0.2049465 29516.5209384 29516.5209384 85.7184632
141.2559945 0.1998800 32284.2411609 32284.2411609 85.6476729
158.4947918 0.1949021 35313.7765273 35313.7765273 85.5718891
177.8326602 0.1900648 38627.3768900 38627.3768900 85.4889255
199.5344894 0.1854273 42254.1582318 42254.1582318 85.3989305
223.8731455 0.1810901 46225.4755602 46225.4755602 85.2993949
251.1895596 0.1764933 50572.4466995 50572.4466995 85.1913820
281.8404883 0.1720292 55327.6633215 55327.6633215 85.0808064
316.2378815 0.1673046 60524.8757469 60524.8757469 84.9680015
354.8252370 0.1628708 66195.1881728 66195.1881728 84.8488141
398.1250863 0.1588305 72394.5440272 72394.5440272 84.7254514
446.6934609 0.1549239 79178.0639526 79178.0639526 84.5808908
501.1903976 0.1510399 86602.8532000 86602.8532000 84.3958052
562.3470481 0.1467821 94708.1553736 94708.1553736 84.1597525
630.9576992 0.1434099 103566.1450152 103566.1450152 83.9179856
707.9626349 0.1402639 113285.3676567 113285.3676567 83.7096601
794.3311114 0.1365031 123918.4002982 123918.4002982 83.4590764
891.2901875 0.1329948 135552.8922749 135552.8922749 83.2268541
1000.0152949 0.1292928 148237.6888107 148237.6888107 82.9972212
1122.0453570 0.1250437 162058.6163356 162058.6163356 82.7299418
1258.9519017 0.1193838 176939.0699556 176939.0699556 82.4304400
1412.6025846 0.1134950 192871.7467579 192871.7467579 82.0695040
1584.9192513 0.1086051 209903.5412556 209903.5412556 81.6389754
1778.3297629 0.1052429 228262.4908884 228262.4908884 81.3325109
1995.3396487 0.1008796 248263.6675613 248263.6675613 81.0485561
2238.7495208 0.0963355 269587.8486101 269587.8486101 80.7421222
2511.9332487 0.0933522 292646.2247174 292646.2247174 80.3779591
2818.4067961 0.0874369 317449.0421609 317449.0421609 79.9921762
3162.3160538 0.0818479 343291.7412233 343291.7412233 79.5706887
3548.2246552 0.0745417 370230.6440457 370230.6440457 79.1459544
3981.0824729 0.0679233 397568.5599389 397568.5599389 78.6934882
4466.8445267 0.0637367 425889.2199798 425889.2199798 78.2062875
5011.9508737 0.0621927 456254.8872347 456254.8872347 77.8120957
5623.4686414 0.0601285 490136.3308821 490136.3308821 77.2378676
6309.6060499 0.0522897 524978.9995580 524978.9995580 76.7236193
7079.5178905 0.0507078 560347.8697520 560347.8697520 76.2432623
7943.3360745 0.0602368 602776.4321487 602776.4321487 75.6203831
8912.5538779 0.0580124 653086.1363479 653086.1363479 75.0169602
10000.0576380 0.0534180 707213.9698947 707213.9698947 74.4521095
11220.2837932 0.0516605 764303.5326690 764303.5326690 73.7324645
12589.2832138 0.0544980 830387.4377973 830387.4377973 72.9627379
14125.4898594 0.0491034 901027.6580473 901027.6580473 72.3865064
15849.0266991 0.0483466 976797.2663701 976797.2663701 71.9048821
17782.8284773 0.0471223 1059668.0340540 1059668.0340540 71.4148548
19952.6405589 0.0504666 1153900.1886647 1153900.1886647 70.4916615
22387.3110130 0.0495065 1263862.6084482 1263862.6084482 70.1843566
25118.9399788 0.0467394 1378651.5071267 1378651.5071267 69.8673613
28183.8378200 0.0495508 1512196.3788637 1512196.3788637 69.5495300
31622.8492882 0.0537936 1675850.5124312 1675850.5124312 69.1684382
35481.3448326 0.0493294 1850641.1797492 1850641.1797492 68.8571068
39810.8123001 0.0488656 2039413.1297654 2039413.1297654 68.5848493
44668.4408210 0.0471491 2245264.1948232 2245264.1948232 68.0644284
50118.8218320 0.0478718 2477849.1842244 2477849.1842244 67.3998898
56234.1823694 0.0431825 2722763.3669053 2722763.3669053 66.9228955
63095.8439737 0.0414586 2968131.6158365 2968131.6158365 66.4696141
70794.7386130 0.0428820 3266793.5884257 3266793.5884257 66.1968610
79432.9897122 0.0365387 3565492.5546386 3565492.5546386 65.9482124
89125.2011949 0.0357463 3868501.0561556 3868501.0561556 65.8047767
100000.1496297 0.0390047 4223286.9212400 4223286.9212400 65.6735514
112201.9339986 0.0377034 4637037.0322601 4637037.0322601 65.4669863
