 1006 -2.8 0.001
0.01 0.994769 8.77814 8.77814
0.02 0.989656 17.5109 17.5109
0.03 0.984649 26.1988 26.1988
0.05 0.974804 43.4447 43.4447
0.07 0.965098 60.5179 60.5179
0.1 0.951675 85.8229 85.8229
0.2 0.910558 167.733 167.733
0.3 0.874329 246.269 246.269
0.5 0.815758 394.804 394.804
0.7 0.769496 534.244 534.244
1 0.715906 730.108 730.108
2 0.606152 1306.65 1306.65
3 0.542521 1809.83 1809.83
5 0.471776 2696.3 2696.3
7 0.429658 3487.71 3487.71
10 0.390679 4565.82 4565.82
15 0.349574 6188.34 6188.34
20 0.324472 7669.69 7669.69
30 0.29456 10382.6 10382.6
50 0.26076 15226.9 15226.9
70 0.24127 19613.3 19613.3
100 0.224602 25710.6 25710.6
150 0.204714 35065.5 35065.5
200 0.192384 43747.6 43747.6
300 0.174878 59802.9 59802.9
500 0.153011 88573.7 88573.7
700 0.141879 114601 114601
1000 0.127317 150579 150579
1500 0.112239 203850 203850
2000 0.104889 251399 251399
3000 0.0926256 337672 337672
5000 0.0767314 488032 488032
7000 0.0769419 623761 623761
10000 0.0701598 813092 813092
15000 0.0534689 1.08527e+06 1.08527e+06
20000 0.03895 1.28637e+06 1.28637e+06
30000 0.0299249 1.6153e+06 1.6153e+06
40000 0.0144047 1.84332e+06 1.84332e+06
50000 0.0155492 2.00023e+06 2.00023e+06
60000 0.0234361 2.15042e+06 2.15042e+06
70000 0.0136504 2.30967e+06 2.30967e+06
80000 0.0228957 2.48608e+06 2.48608e+06
90000 0.00809421 2.61762e+06 2.61762e+06
100000 0.0146071 2.72911e+06 2.72911e+06
150000 0.0116134 3.31829e+06 3.31829e+06
200000 0.00578006 3.67764e+06 3.67767e+06
300000 -0.000143678 4.3706e+06 4.3793e+06
400000 -0.00690996 4.32426e+06 4.47882e+06
500000 0.00244614 4.22361e+06 4.54504e+06
600000 0.00135223 4.27879e+06 4.68139e+06
700000 0.0141606 4.43015e+06 4.90791e+06
800000 0.00627967 4.95226e+06 5.44479e+06
900000 0.0108985 5.36934e+06 5.87041e+06
1e+06 0.000978835 5.93835e+06 6.44089e+06
