 1007 -3 0.001
0.01 0.99463 8.72556 8.72556
0.02 0.989419 17.4052 17.4052
0.03 0.984372 26.04 26.04
0.05 0.974503 43.1781 43.1781
0.07 0.964798 60.1465 60.1465
0.1 0.950982 85.2874 85.2874
0.2 0.909328 166.63 166.63
0.3 0.873366 244.556 244.556
0.5 0.814697 392.038 392.038
0.7 0.768342 530.383 530.383
1 0.713926 724.557 724.557
2 0.603349 1294.91 1294.91
3 0.539719 1792.12 1792.12
5 0.465444 2665.03 2665.03
7 0.423319 3439.92 3439.92
10 0.380871 4490.59 4490.59
15 0.341402 6063.13 6063.13
20 0.316884 7497.39 7497.39
30 0.285885 10119.7 10119.7
50 0.254311 14795 14795
70 0.233693 19039.4 19039.4
100 0.215918 24894 24894
150 0.195873 33865.1 33865.1
200 0.185185 42241.1 42241.1
300 0.171363 57737.2 57737.2
500 0.150613 85533.9 85533.9
700 0.139063 110550 110550
1000 0.127259 144955 144955
1500 0.115483 197624 197624
2000 0.10303 245590 245590
3000 0.0909468 331710 331710
5000 0.0765846 477887 477887
7000 0.068358 601028 601028
10000 0.0594512 771635 771635
15000 0.0625069 1.04569e+06 1.04569e+06
20000 0.0535482 1.29537e+06 1.29537e+06
30000 0.0408164 1.6952e+06 1.6952e+06
40000 0.0395939 2.03111e+06 2.03111e+06
50000 0.0277697 2.32937e+06 2.32937e+06
60000 0.0251565 2.5747e+06 2.5747e+06
70000 0.0207775 2.79056e+06 2.79056e+06
80000 0.0250796 2.96773e+06 2.96773e+06
90000 0.0182282 3.14624e+06 3.14624e+06
100000 0.021019 3.31115e+06 3.31115e+06
150000 0.0284185 4.25099e+06 4.25099e+06
200000 0.0177314 5.25161e+06 5.25161e+06
300000 0.0145409 6.76161e+06 6.76161e+06
400000 0.014789 8.05604e+06 8.05604e+06
500000 0.0205763 9.26905e+06 9.26905e+06
600000 0.00874755 1.0268e+07 1.0268e+07
700000 0.00557034 1.12081e+07 1.12081e+07
800000 0.0120234 1.20889e+07 1.20889e+07
900000 0.0138168 1.32583e+07 1.32583e+07
1e+06 0.0173442 1.42851e+07 1.42851e+07
