7003 -5 0 797.409
0.0325500 0.9795298 25.7135873 25.7135873 32.5323557
0.0357000 0.9773539 28.1703615 28.1703615 32.5156062
0.0399000 0.9744745 31.4376009 31.4376009 32.4936187
0.0451500 0.9709082 35.5081679 35.5081679 32.4666748
0.0504000 0.9673774 39.5638942 39.5638942 32.4403140
0.0567000 0.9631881 44.4113880 44.4113880 32.4094250
0.0640500 0.9583654 50.0404057 50.0404057 32.3743752
0.0714000 0.9536120 55.6413908 55.6413908 32.3403454
0.0798000 0.9482617 62.0087009 62.0087009 32.3026476
0.0892500 0.9423462 69.1295099 69.1295099 32.2616860
0.1008000 0.9352627 77.7728810 77.7728810 32.2135898
0.1123500 0.9283381 86.3518138 86.3518138 32.1675277
0.1260000 0.9203467 96.4094091 96.4094091 32.1155403
0.1417500 0.9113799 107.9078765 107.9078765 32.0586145
0.1585500 0.9020986 120.0507791 120.0507791 32.0012183
0.1785000 0.8914463 134.3119383 134.3119383 31.9371264
0.2005500 0.8801169 149.8811028 149.8811028 31.8709325
0.2247000 0.8682115 166.7094614 166.7094614 31.8034447
0.2520000 0.8553538 185.4633197 185.4633197 31.7327608
0.2824500 0.8417205 206.0595986 206.0595986 31.6601024
0.3171000 0.8270408 229.1055979 229.1055979 31.5843340
0.3549000 0.8119635 253.7984437 253.7984437 31.5089257
0.3990000 0.7954848 282.0517330 282.0517330 31.4291267
0.4473000 0.7786755 312.3550806 312.3550806 31.3503001
0.5019000 0.7610498 345.8613581 345.8613581 31.2702618
0.5628000 0.7429306 382.3659296 382.3659296 31.1904546
0.6310500 0.7243242 422.2768541 422.2768541 31.1108201
0.7087500 0.7050412 466.5399407 466.5399407 31.0304999
0.7948500 0.6856818 514.2620667 514.2620667 30.9519606
0.8914500 0.6660838 566.3036336 566.3036336 30.8744362
1.0006500 0.6462050 623.4143833 623.4143833 30.7976512
1.1227651 0.6263900 685.3471377 685.3471377 30.7226723
1.2594751 0.6066697 752.5272910 752.5272910 30.6495587
1.4127226 0.5870871 825.4328147 825.4328147 30.5783675
1.5858151 0.5676030 905.0839879 905.0839879 30.5087282
1.7787526 0.5485343 990.9023608 990.9023608 30.4416500
1.9959451 0.5297467 1084.2320623 1084.2320623 30.3764947
2.2393220 0.5114200 1185.2118557 1185.2118557 30.3135783
2.5125215 0.4935652 1294.6259426 1294.6259426 30.2527395
2.8192921 0.4761876 1413.1781952 1413.1781952 30.1939387
3.1631068 0.4593548 1541.3584914 1541.3584914 30.1372499
3.5483644 0.4431018 1679.9087854 1679.9087854 30.0826118
3.9810846 0.4273929 1830.0183695 1830.0183695 30.0298607
4.4672872 0.4122074 1992.6936231 1992.6936231 29.9789196
5.0118948 0.3976244 2168.4498648 2168.4498648 29.9298234
5.6245099 0.3835711 2359.1618029 2359.1618029 29.8822655
6.3098094 0.3701560 2565.0018458 2565.0018458 29.8363845
7.0803644 0.3572413 2788.3649117 2788.3649117 29.7918090
7.9440561 0.3448889 3030.0296184 3030.0296184 29.7485300
8.9125633 0.3330679 3291.6944329 3291.6944329 29.7064100
10.0014481 0.3216639 3575.8079247 3575.8079247 29.6652330
11.2210876 0.3107077 3883.1739624 3883.1739624 29.6249988
12.5894367 0.3001719 4216.2937837 4216.2937837 29.5855141
14.1269504 0.2900198 4577.9237892 4577.9237892 29.5465846
15.8491767 0.2802557 4969.3274790 4969.3274790 29.5082622
17.7840324 0.2708949 5394.3068871 5394.3068871 29.4702435
19.9529062 0.2619262 5854.8456940 5854.8456940 29.4324312
22.3872322 0.2532936 6354.6886649 6354.6886649 29.3945035
25.1199938 0.2449968 6897.3731357 6897.3731357 29.3563898
28.1840786 0.2370046 7485.9523199 7485.9523199 29.3180509
31.6237393 0.2293642 8125.2514850 8125.2514850 29.2792061
35.4826072 0.2219589 8819.3501115 8819.3501115 29.2398158
39.8132470 0.2148371 9573.2047105 9573.2047105 29.1996390
44.6694872 0.2079957 10391.5304127 10391.5304127 29.1584668
50.1205675 0.2014038 11280.9657087 11280.9657087 29.1160302
56.2377471 0.1950262 12247.4321437 12247.4321437 29.0721986
63.0967693 0.1888953 13296.8878758 13296.8878758 29.0263247
70.7954662 0.1829096 14437.7081092 14437.7081092 28.9780258
79.4340106 0.1771349 15677.2561266 15677.2561266 28.9272042
89.1259377 0.1716752 17024.6001614 17024.6001614 28.8734963
100.0026275 0.1662887 18489.6146961 18489.6146961 28.8157519
112.2074471 0.1609956 20081.6645672 20081.6645672 28.7533183
125.8964104 0.1558411 21810.2077070 21810.2077070 28.6863587
141.2559945 0.1507660 23686.9320829 23686.9320829 28.6142820
158.4947918 0.1458181 25724.7485484 25724.7485484 28.5363798
177.8326602 0.1409494 27934.8588123 27934.8588123 28.4521116
199.5344894 0.1360841 30331.1909999 30331.1909999 28.3624617
223.8731455 0.1316642 32928.1000307 32928.1000307 28.2669613
251.1895596 0.1272295 35746.3386951 35746.3386951 28.1699046
281.8404883 0.1228842 38802.8471657 38802.8471657 28.0652278
316.2378815 0.1184456 42110.9519509 42110.9519509 27.9495799
354.8252370 0.1148432 45697.2648807 45697.2648807 27.8231287
398.1250863 0.1117249 49606.6335816 49606.6335816 27.6813880
446.6934609 0.1090345 53881.4617195 53881.4617195 27.5146017
501.1903976 0.1059903 58554.6000481 58554.6000481 27.3494524
562.3470481 0.1023532 63636.7990385 63636.7990385 27.1738499
630.9576992 0.0986066 69132.1784322 69132.1784322 26.9899529
707.9626349 0.0945614 75062.2379026 75062.2379026 26.7854417
794.3311114 0.0904572 81423.4164732 81423.4164732 26.5691871
891.2901875 0.0869216 88278.1656411 88278.1656411 26.3129145
1000.0152949 0.0833549 95674.1002782 95674.1002782 26.0254630
1122.0453570 0.0794711 103581.5140488 103581.5140488 25.7424058
1258.9519017 0.0781554 112165.1035316 112165.1035316 25.4696481
1412.6025846 0.0738941 121510.1220309 121510.1220309 25.1729399
1584.9192513 0.0693388 131374.9191046 131374.9191046 24.8614720
1778.3297629 0.0644397 141637.0430641 141637.0430641 24.5362661
1995.3396487 0.0619794 152518.2217904 152518.2217904 24.2120865
2238.7495208 0.0622242 164580.8010591 164580.8010591 23.8954019
2511.9332487 0.0602950 177989.3747572 177989.3747572 23.5626254
2818.4067961 0.0540750 192100.1684633 192100.1684633 23.1790456
3162.3160538 0.0487032 206041.2698492 206041.2698492 22.7366315
3548.2246552 0.0447183 220418.5043097 220418.5043097 22.2880451
3981.0824729 0.0404160 235092.6473646 235092.6473646 21.8200668
4466.8445267 0.0400388 250792.8709689 250792.8709689 21.3879671
5011.9508737 0.0360701 267299.0035305 267299.0035305 21.0122705
5623.4686414 0.0355663 284569.1025789 284569.1025789 20.6657790
6309.6060499 0.0392071 304877.0028811 304877.0028811 20.3332880
7079.5178905 0.0355607 328417.8548183 328417.8548183 20.0235922
7943.3360745 0.0296133 351005.2246923 351005.2246923 19.7597761
8912.5538779 0.0249990 372223.5901578 372223.5901578 19.4652411
10000.0576380 0.0207013 392443.8150077 392443.8150077 19.1199408
11220.2837932 0.0178768 411430.0829248 411430.0829248 18.7422691
12589.2832138 0.0190489 431860.7257922 431860.7257922 18.4193023
14125.4898594 0.0172695 453389.0460811 453389.0460811 18.0233680
15849.0266991 0.0198351 479754.5457891 479754.5457891 17.7512777
17782.8284773 0.0229171 512825.5670124 512825.5670124 17.4364954
19952.6405589 0.0218376 551921.4796460 551921.4796460 17.1568104
22387.3110130 0.0200240 590505.6134295 590505.6134295 16.9133654
25118.9399788 0.0160768 628794.0153758 628794.0153758 16.6182387
28183.8378200 0.0152208 667406.8697131 667406.8697131 16.3605417
31622.8492882 0.0138540 705304.8155217 705304.8155217 16.1260077
35481.3448326 0.0158174 752060.0022208 752060.0022208 15.9467335
39810.8123001 0.0170636 807825.0395056 807825.0395056 15.8088687
44668.4408210 0.0179864 876265.5371144 876265.5371144 15.6373646
50118.8218320 0.0186891 958382.9068233 958382.9068233 15.3710541
56234.1823694 0.0212722 1059176.9997045 1059176.9997045 15.1030037
63095.8439737 0.0218986 1177206.7110865 1177206.7110865 14.8960615
70794.7386130 0.0142883 1286075.8809690 1286075.8809690 14.6341352
79432.9897122 0.0119636 1377352.2615351 1377352.2615351 14.3704297
89125.2011949 0.0118783 1472724.3231157 1472724.3231157 14.1735390
100000.1496297 0.0131862 1587752.0926954 1587752.0926954 13.9417524
112201.9339986 0.0139382 1717717.4924047 1717717.4924047 13.7346787
125892.6936390 0.0103184 1838895.4410878 1838895.4410878 13.4710712
141253.8311154 0.0084697 1961554.2290410 1961554.2290410 13.3529216
