7008 -3.8 0 790.423
0.0325500 0.9800383 25.5037814 25.5037814 31.2836898
0.0357000 0.9778442 27.9402677 27.9402677 31.2669423
0.0399000 0.9749398 31.1804587 31.1804587 31.2449601
0.0451500 0.9713437 35.2172197 35.2172197 31.2180270
0.0504000 0.9677844 39.2391493 39.2391493 31.1916798
0.0567000 0.9635633 44.0461084 44.0461084 31.1608149
0.0640500 0.9587056 49.6278733 49.6278733 31.1258028
0.0714000 0.9539180 55.1816505 55.1816505 31.0918206
0.0798000 0.9485278 61.4950606 61.4950606 31.0541868
0.0892500 0.9425665 68.5552837 68.5552837 31.0133073
0.1008000 0.9354238 77.1246462 77.1246462 30.9653242
0.1123500 0.9284408 85.6296005 85.6296005 30.9193934
0.1260000 0.9203833 95.5998017 95.5998017 30.8675857
0.1417500 0.9113452 106.9975155 106.9975155 30.8109007
0.1585500 0.9019981 119.0330932 119.0330932 30.7537971
0.1785000 0.8912787 133.1671490 133.1671490 30.6900850
0.2005500 0.8798861 148.5964155 148.5964155 30.6243342
0.2247000 0.8679169 165.2722766 165.2722766 30.5573652
0.2520000 0.8549899 183.8547084 183.8547084 30.4873112
0.2824500 0.8412755 204.2607717 204.2607717 30.4154114
0.3171000 0.8265099 227.0914597 227.0914597 30.3405700
0.3549000 0.8113414 251.5506491 251.5506491 30.2662490
0.3990000 0.7947918 279.5333402 279.5333402 30.1878043
0.4473000 0.7779288 309.5436469 309.5436469 30.1105436
0.5019000 0.7602556 342.7231103 342.7231103 30.0323469
0.5628000 0.7421035 378.8685999 378.8685999 29.9546635
0.6310500 0.7234677 418.3845723 418.3845723 29.8774942
0.7087500 0.7041371 462.2056730 462.2056730 29.8000524
0.7948500 0.6847379 509.4467198 509.4467198 29.7248139
0.8914500 0.6651060 560.9590931 560.9590931 29.6511101
1.0006500 0.6452141 617.4843661 617.4843661 29.5788431
1.1227651 0.6253227 678.7756725 678.7756725 29.5091727
1.2594751 0.6055374 745.2478984 745.2478984 29.4423807
1.4127226 0.5858917 817.3742585 817.3742585 29.3784656
1.5858151 0.5663022 896.1564744 896.1564744 29.3173195
1.7787526 0.5471185 981.0152483 981.0152483 29.2600450
1.9959451 0.5282736 1073.2781118 1073.2781118 29.2063091
2.2393220 0.5098829 1173.0856134 1173.0856134 29.1565810
2.5125215 0.4918597 1281.1944186 1281.1944186 29.1108932
2.8192921 0.4742672 1398.2669326 1398.2669326 29.0696040
3.1631068 0.4572364 1524.7767620 1524.7767620 29.0333142
3.5483644 0.4407041 1661.4249650 1661.4249650 29.0018956
3.9810846 0.4246684 1809.3433688 1809.3433688 28.9752758
4.4672872 0.4092585 1969.5009550 1969.5009550 28.9538073
