7006 -3.6 0 782.794
0.0325500 0.9882995 25.4674918 25.4674918 31.7759585
0.0357000 0.9861094 27.9008398 27.9008398 31.7594369
0.0399000 0.9832096 31.1369423 31.1369423 31.7377508
0.0451500 0.9796185 35.1687412 35.1687412 31.7111802
0.0504000 0.9760652 39.1858752 39.1858752 31.6851886
0.0567000 0.9718512 43.9872976 43.9872976 31.6547376
0.0640500 0.9670011 49.5628999 49.5628999 31.6201921
0.0714000 0.9622211 55.1108288 55.1108288 31.5866593
0.0798000 0.9568411 61.4179398 61.4179398 31.5495206
0.0892500 0.9508947 68.4715750 68.4715750 31.5091775
0.1008000 0.9437775 77.0336532 77.0336532 31.4618220
0.1123500 0.9368166 85.5321638 85.5321638 31.4164856
0.1260000 0.9287831 95.4957780 95.4957780 31.3653368
0.1417500 0.9197711 106.8872154 106.8872154 31.3093537
0.1585500 0.9104523 118.9176425 118.9176425 31.2529344
0.1785000 0.8997613 133.0475582 133.0475582 31.1899625
0.2005500 0.8883882 148.4745058 148.4745058 31.1249593
0.2247000 0.8764440 165.1503866 165.1503866 31.0587236
0.2520000 0.8635505 183.7360754 183.7360754 30.9893872
0.2824500 0.8498791 204.1497473 204.1497473 30.9181544
0.3171000 0.8351645 226.9941537 226.9941537 30.8439127
0.3549000 0.8200528 251.4742474 251.4742474 30.7700631
0.3990000 0.8035473 279.4884947 279.4884947 30.6919511
0.4473000 0.7867258 309.5409059 309.5409059 30.6148176
0.5019000 0.7691140 342.7774499 342.7774499 30.5365024
0.5628000 0.7510325 378.9981225 378.9981225 30.4584112
0.6310500 0.7324758 418.6118770 418.6118770 30.3804690
0.7087500 0.7132194 462.5604573 462.5604573 30.3018260
0.7948500 0.6939055 509.9604233 509.9604233 30.2248941
0.8914500 0.6743924 561.6733020 561.6733020 30.1488983
1.0006500 0.6546012 618.4513902 618.4513902 30.0735500
1.1227651 0.6348642 680.0553950 680.0553950 29.9998872
1.2594751 0.6151991 746.9144234 746.9144234 29.9279737
1.4127226 0.5956662 819.5104134 819.5104134 29.8578699
1.5858151 0.5762233 898.8666802 898.8666802 29.7891884
1.7787526 0.5571551 984.4150416 984.4150416 29.7229094
1.9959451 0.5383481 1077.4984819 1077.4984819 29.6584574
2.2393220 0.5199612 1178.2613704 1178.2613704 29.5962101
2.5125215 0.5019948 1287.4853118 1287.4853118 29.5360704
2.8192921 0.4845107 1405.8754534 1405.8754534 29.4780019
3.1631068 0.4675351 1533.9282180 1533.9282180 29.4220739
3.5483644 0.4510914 1672.3781630 1672.3781630 29.3682836
3.9810846 0.4351718 1822.4042818 1822.4042818 29.3164823
4.4672872 0.4198449 1985.0298842 1985.0298842 29.2665621
5.0118948 0.4051263 2160.7914032 2160.7914032 29.2185342
5.6245099 0.3909345 2351.5710816 2351.5710816 29.1721475
