7014 -4 0 804.705
0.0325500 0.9748333 25.8257061 25.8257061 33.4952036
0.0357000 0.9726608 28.2930593 28.2930593 33.4783842
0.0399000 0.9697854 31.5743395 31.5743395 33.4563079
0.0451500 0.9662234 35.6623508 35.6623508 33.4292598
0.0504000 0.9626996 39.7354099 39.7354099 33.4028019
0.0567000 0.9585205 44.6035695 44.6035695 33.3718052
0.0640500 0.9537119 50.2565314 50.2565314 33.3366413
0.0714000 0.9489719 55.8812844 55.8812844 33.3025088
0.0798000 0.9436396 62.2755540 62.2755540 33.2647068
0.0892500 0.9377456 69.4264580 69.4264580 33.2236434
0.1008000 0.9306855 78.1062718 78.1062718 33.1754434
0.1123500 0.9237852 86.7212755 86.7212755 33.1292991
0.1260000 0.9158254 96.8210665 96.8210665 33.0772368
0.1417500 0.9068965 108.3676971 108.3676971 33.0202484
0.1585500 0.8976563 120.5613801 120.5613801 32.9628097
0.1785000 0.8870502 134.8820905 134.8820905 32.8986935
0.2005500 0.8757717 150.5161894 150.5161894 32.8325007
0.2247000 0.8639199 167.4146171 167.4146171 32.7650470
0.2520000 0.8511162 186.2464161 186.2464161 32.6944360
0.2824500 0.8375422 206.9280211 206.9280211 32.6218937
0.3171000 0.8229358 230.0694391 230.0694391 32.5462920
0.3549000 0.8079396 254.8646129 254.8646129 32.4711000
0.3990000 0.7915584 283.2353940 283.2353940 32.3915799
0.4473000 0.7748607 313.6655990 313.6655990 32.3130696
0.5019000 0.7573719 347.3138636 347.3138636 32.2333812
0.5628000 0.7394060 383.9759896 383.9759896 32.1539403
0.6310500 0.7209645 424.0630521 424.0630521 32.0746852
0.7087500 0.7018696 468.5270167 468.5270167 31.9947451
0.7948500 0.6827081 516.4730605 516.4730605 31.9165534
0.8914500 0.6633151 568.7677702 568.7677702 31.8393456
1.0006500 0.6436608 626.1676855 626.1676855 31.7628417
1.1227651 0.6240587 688.4279349 688.4279349 31.6880866
1.2594751 0.6045439 755.9779811 755.9779811 31.6151310
1.4127226 0.5851683 829.3018682 829.3018682 31.5440123
1.5858151 0.5658607 909.4272557 909.4272557 31.4743510
1.7787526 0.5469292 995.7719533 995.7719533 31.4071804
1.9959451 0.5282763 1089.6867763 1089.6867763 31.3418822
2.2393220 0.5100511 1191.3140183 1191.3140183 31.2787731
2.5125215 0.4922608 1301.4357621 1301.4357621 31.2177330
2.8192921 0.4749425 1420.7574740 1420.7574740 31.1587066
3.1631068 0.4581922 1549.7772427 1549.7772427 31.1017805
3.5483644 0.4420209 1689.2489898 1689.2489898 31.0468825
3.9810846 0.4263563 1840.3640062 1840.3640062 30.9938297
4.4672872 0.4112207 2004.1309037 2004.1309037 30.9425846
5.0118948 0.3966814 2181.0749444 2181.0749444 30.8931972
5.6245099 0.3826141 2373.0656336 2373.0656336 30.8454007
6.3098094 0.3691252 2580.2415734 2580.2415734 30.7993820
7.0803644 0.3561133 2804.9821349 2804.9821349 30.7548179
7.9440561 0.3436269 3048.0258755 3048.0258755 30.7117868
8.9125633 0.3316624 3311.0448194 3311.0448194 30.6701557
