6006 -4.5 0 1002.56
0.0325500 0.9618190 31.7291695 31.7291695 303.4659329
0.0357000 0.9597554 34.7623252 34.7623252 303.4671225
0.0399000 0.9572019 38.7967663 38.7967663 303.4683586
0.0451500 0.9537960 43.8238713 43.8238713 303.4701002
0.0504000 0.9505400 48.8337125 48.8337125 303.4708152
0.0567000 0.9469900 54.8245219 54.8245219 303.4718235
0.0640500 0.9426670 61.7847163 61.7847163 303.4705390
0.0714000 0.9383139 68.7123190 68.7123190 303.4707358
0.0798000 0.9332721 76.5904047 76.5904047 303.4659222
0.0892500 0.9279429 85.4032870 85.4032870 303.4621861
0.1008000 0.9217814 96.1084758 96.1084758 303.4593776
0.1123500 0.9159221 106.7468812 106.7468812 303.4502852
0.1260000 0.9085298 119.2253558 119.2253558 303.4400647
0.1417500 0.9006442 133.5043969 133.5043969 303.4292934
0.1585500 0.8925993 148.6021191 148.6021191 303.4184755
0.1785000 0.8835666 166.3594914 166.3594914 303.4010193
0.2005500 0.8739946 185.7790873 185.7790873 303.3823411
0.2247000 0.8636369 206.8113169 206.8113169 303.3625161
0.2520000 0.8527732 230.2952379 230.2952379 303.3406861
0.2824500 0.8416550 256.1576343 256.1576343 303.3126426
0.3171000 0.8297597 285.1801018 285.1801018 303.2793506
0.3549000 0.8168172 316.3728022 316.3728022 303.2453054
0.3990000 0.8028606 352.1686668 352.1686668 303.2048643
0.4473000 0.7890663 390.6936655 390.6936655 303.1513995
0.5019000 0.7741397 433.4711676 433.4711676 303.0994130
0.5628000 0.7588185 480.2517504 480.2517504 303.0507765
0.6310500 0.7422126 531.5943619 531.5943619 302.9969223
0.7087500 0.7272160 588.8007927 588.8007927 302.9432204
0.7948500 0.7107270 650.8373214 650.8373214 302.8923494
0.8914500 0.6937483 718.8423005 718.8423005 302.8454789
1.0006500 0.6773803 793.8643356 793.8643356 302.7881647
1.1227651 0.6614437 875.7582481 875.7582481 302.7312504
1.2594751 0.6437179 965.1821995 965.1821995 302.6715469
1.4127226 0.6273505 1062.7457125 1062.7457125 302.6135158
1.5858151 0.6105973 1170.0858574 1170.0858574 302.5488225
1.7787526 0.5951282 1286.6955817 1286.6955817 302.4893745
1.9959451 0.5786421 1414.5234708 1414.5234708 302.4413971
2.2393220 0.5639156 1553.9087881 1553.9087881 302.3916724
2.5125215 0.5503078 1706.4673564 1706.4673564 302.3312278
2.8192921 0.5341200 1873.3090212 1873.3090212 302.2751541
3.1631068 0.5212933 2055.1819862 2055.1819862 302.2283025
3.5483644 0.5072352 2253.5693828 2253.5693828 302.1884698
3.9810846 0.4947542 2470.6415063 2470.6415063 302.1365238
4.4672872 0.4790225 2707.8455335 2707.8455335 302.0879770
5.0118948 0.4678913 2966.2218096 2966.2218096 302.0459297
5.6245099 0.4564503 3250.5094429 3250.5094429 301.9924987
6.3098094 0.4443302 3560.1509743 3560.1509743 301.9575385
7.0803644 0.4347483 3899.6232123 3899.6232123 301.9136857
7.9440561 0.4225798 4270.4373620 4270.4373620 301.8743116
8.9125633 0.4125398 4675.1033890 4675.1033890 301.8314762
10.0014481 0.4013345 5118.8284532 5118.8284532 301.7970092
11.2210876 0.3929468 5604.5210784 5604.5210784 301.7622282
12.5894367 0.3818006 6137.1378275 6137.1378275 301.7202926
14.1269504 0.3751252 6720.6834199 6720.6834199 301.6794869
15.8491767 0.3641573 7358.9748431 7358.9748431 301.6300110
17.7840324 0.3576436 8058.0897775 8058.0897775 301.6015016
19.9529062 0.3504829 8828.2728547 8828.2728547 301.5574847
22.3872322 0.3443428 9675.9235823 9675.9235823 301.5217542
25.1199938 0.3376118 10607.2380850 10607.2380850 301.4713699
28.1840786 0.3294868 11633.5588536 11633.5588536 301.4228697
31.6237393 0.3241775 12761.5204378 12761.5204378 301.3721699
35.4826072 0.3166295 13999.3787672 13999.3787672 301.3132996
39.8132470 0.3091133 15357.3364163 15357.3364163 301.2731589
44.6694872 0.3056864 16857.4633187 16857.4633187 301.2107375
50.1205675 0.2986828 18501.4912875 18501.4912875 301.1290751
56.2377471 0.2906159 20310.3412249 20310.3412249 301.0559452
63.0967693 0.2866950 22300.6247846 22300.6247846 300.9852742
70.7954662 0.2796083 24482.1747323 24482.1747323 300.9036398
79.4340106 0.2751877 26871.6695384 26871.6695384 300.8157622
89.1259377 0.2672494 29489.0713853 29489.0713853 300.6973517
100.0026275 0.2599981 32345.5549686 32345.5549686 300.5943241
112.2074471 0.2534173 35482.7417927 35482.7417927 300.4830734
125.8964104 0.2490866 38930.1738763 38930.1738763 300.3679897
141.2559945 0.2406878 42707.7304939 42707.7304939 300.2282465
158.4947918 0.2349711 46847.0535553 46847.0535553 300.1184806
177.8326602 0.2304122 51358.9293020 51358.9293020 299.9850453
199.5344894 0.2279721 56338.4990000 56338.4990000 299.8478373
223.8731455 0.2213444 61806.4416154 61806.4416154 299.6797320
251.1895596 0.2170892 67799.1109607 67799.1109607 299.5269838
281.8404883 0.2108848 74350.7706417 74350.7706417 299.4124353
316.2378815 0.2027198 81492.6321712 81492.6321712 299.2486990
354.8252370 0.1985387 89252.0571702 89252.0571702 299.0822304
398.1250863 0.1900560 97750.7464128 97750.7464128 298.8289821
446.6934609 0.1859207 107037.6068734 107037.6068734 298.5757516
501.1903976 0.1823266 117239.5709784 117239.5709784 298.2542722
562.3470481 0.1808654 128421.6150142 128421.6150142 297.9337559
630.9576992 0.1786531 140674.3560026 140674.3560026 297.5758398
707.9626349 0.1704829 154090.8615129 154090.8615129 297.1700908
794.3311114 0.1748222 169032.1335247 169032.1335247 296.7723015
891.2901875 0.1699788 185775.5838088 185775.5838088 296.3713253
1000.0152949 0.1677057 204235.4153314 204235.4153314 295.8356848
1122.0453570 0.1593020 224373.8562054 224373.8562054 295.3272785
1258.9519017 0.1507723 245783.1730850 245783.1730850 294.8404142
1412.6025846 0.1459140 268949.4866345 268949.4866345 294.2208687
1584.9192513 0.1398946 293510.0313852 293510.0313852 293.7335204
1778.3297629 0.1374918 320089.9994004 320089.9994004 293.0575549
1995.3396487 0.1349710 349625.3448406 349625.3448406 292.5176845
2238.7495208 0.1370746 382542.2216273 382542.2216273 292.0640778
2511.9332487 0.1293183 418966.0989897 418966.0989897 291.4381570
2818.4067961 0.1249193 458001.9634204 458001.9634204 290.8273595
3162.3160538 0.1182743 499529.7024600 499529.7024600 289.9837065
3548.2246552 0.1087870 543552.7635405 543552.7635405 289.0516731
3981.0824729 0.1099191 591399.3117413 591399.3117413 288.0304101
4466.8445267 0.1002870 642270.5911846 642270.5911846 287.1995106
5011.9508737 0.0922718 695329.7475810 695329.7475810 286.2643893
5623.4686414 0.0927584 751867.3904695 751867.3904695 285.6122671
6309.6060499 0.0899625 814289.7400785 814289.7400785 284.9303837
7079.5178905 0.0889885 883409.2866755 883409.2866755 284.1596420
7943.3360745 0.0872045 958154.6969320 958154.6969320 283.7390830
8912.5538779 0.0909864 1043684.5752957 1043684.5752957 283.3845468
10000.0576380 0.0892947 1139166.9595860 1139166.9595860 282.9895223
11220.2837932 0.0782543 1240546.3151346 1240546.3151346 282.1434255
12589.2832138 0.0751125 1350109.2949693 1350109.2949693 281.3747270
14125.4898594 0.0653189 1457301.0189201 1457301.0189201 280.5601128
15849.0266991 0.0701619 1573727.6237853 1573727.6237853 279.4484930
17782.8284773 0.0698472 1708486.6353956 1708486.6353956 278.8731032
19952.6405589 0.0617393 1849888.2763357 1849888.2763357 277.9349390
22387.3110130 0.0588674 1991525.3151406 1991525.3151406 277.2072448
25118.9399788 0.0624780 2164432.7168267 2164432.7168267 276.3821826
28183.8378200 0.0562356 2348346.7999006 2348346.7999006 275.9877095
31622.8492882 0.0616365 2555442.1975467 2555442.1975467 275.7852082
35481.3448326 0.0602388 2785804.8191202 2785804.8191202 275.3970644
39810.8123001 0.0525668 3027902.7833947 3027902.7833947 275.1269546
44668.4408210 0.0458871 3264904.9711767 3264904.9711767 274.7544582
50118.8218320 0.0474556 3505161.3088580 3505161.3088580 274.2337953
56234.1823694 0.0495145 3810836.6557468 3810836.6557468 273.9765574
63095.8439737 0.0474999 4148929.8451215 4148929.8451215 273.8473267
70794.7386130 0.0472615 4511931.8418218 4511931.8418218 273.2672673
79432.9897122 0.0413257 4888396.7123602 4888396.7123602 273.0758490
89125.2011949 0.0410666 5302931.9783996 5302931.9783996 273.0712652
100000.1496297 0.0427329 5751754.1463675 5751754.1463675 272.7934190
