6013 -4.5 0 960
0.0325500 1.0056681 31.7546013 31.7546013 301.5615824
0.0357000 1.0035216 34.7913961 34.7913961 301.5626353
0.0399000 1.0008211 38.8307924 38.8307924 301.5627585
0.0451500 0.9978228 43.8662398 43.8662398 301.5669049
0.0504000 0.9944188 48.8848963 48.8848963 301.5671384
0.0567000 0.9907000 54.8861676 54.8861676 301.5685666
0.0640500 0.9861611 61.8581862 61.8581862 301.5668843
0.0714000 0.9819156 68.8000470 68.8000470 301.5656800
0.0798000 0.9766406 76.6955132 76.6955132 301.5615876
0.0892500 0.9712545 85.5288058 85.5288058 301.5638042
0.1008000 0.9649088 96.2597361 96.2597361 301.5590337
0.1123500 0.9582732 106.9170651 106.9170651 301.5499544
0.1260000 0.9506067 119.4203490 119.4203490 301.5390008
0.1417500 0.9430165 133.7300861 133.7300861 301.5324784
0.1585500 0.9341310 148.8626634 148.8626634 301.5148357
0.1785000 0.9242877 166.6523710 166.6523710 301.4959754
0.2005500 0.9137272 186.1005060 186.1005060 301.4786930
0.2247000 0.9031315 207.1560978 207.1560978 301.4566649
0.2520000 0.8912847 230.6591717 230.6591717 301.4323066
0.2824500 0.8789316 256.5226366 256.5226366 301.4023568
0.3171000 0.8659123 285.5349454 285.5349454 301.3717839
0.3549000 0.8525224 316.7045957 316.7045957 301.3427027
0.3990000 0.8382440 352.4882235 352.4882235 301.3049233
0.4473000 0.8228109 390.9861746 390.9861746 301.2557084
0.5019000 0.8074287 433.6846554 433.6846554 301.2149232
0.5628000 0.7919954 480.4069426 480.4069426 301.1604519
0.6310500 0.7765409 531.7683015 531.7683015 301.1093801
0.7087500 0.7608570 589.0483707 589.0483707 301.0649577
0.7948500 0.7445784 651.2439385 651.2439385 301.0123340
0.8914500 0.7278524 719.4707650 719.4707650 300.9562833
1.0006500 0.7096234 794.8091892 794.8091892 300.8980259
1.1227651 0.6926722 877.0378055 877.0378055 300.8438560
1.2594751 0.6759597 966.8606791 966.8606791 300.7957837
1.4127226 0.6586805 1065.0722540 1065.0722540 300.7321259
1.5858151 0.6422426 1173.1259829 1173.1259829 300.6837139
1.7787526 0.6261469 1290.5365488 1290.5365488 300.6232560
1.9959451 0.6089014 1419.2393888 1419.2393888 300.5714291
2.2393220 0.5929537 1559.4448273 1559.4448273 300.5129220
2.5125215 0.5767590 1712.8869023 1712.8869023 300.4685680
2.8192921 0.5622731 1880.6878239 1880.6878239 300.4194852
3.1631068 0.5484298 2064.0494764 2064.0494764 300.3575583
3.5483644 0.5362032 2264.3102771 2264.3102771 300.3235647
3.9810846 0.5214502 2483.9918809 2483.9918809 300.2771724
4.4672872 0.5087159 2724.3648168 2724.3648168 300.2481190
5.0118948 0.4924370 2985.8234832 2985.8234832 300.1963663
5.6245099 0.4812762 3272.1199971 3272.1199971 300.1568396
6.3098094 0.4701132 3584.5865086 3584.5865086 300.1196733
7.0803644 0.4586889 3928.0783141 3928.0783141 300.0800827
7.9440561 0.4498528 4304.5732059 4304.5732059 300.0349674
8.9125633 0.4387760 4717.9487157 4717.9487157 299.9942573
10.0014481 0.4262333 5170.0844694 5170.0844694 299.9702958
11.2210876 0.4186697 5664.4310064 5664.4310064 299.9320264
12.5894367 0.4091805 6207.4115585 6207.4115585 299.8985434
14.1269504 0.3981252 6803.5895440 6803.5895440 299.8517158
15.8491767 0.3908962 7456.4612348 7456.4612348 299.8285704
17.7840324 0.3834839 8174.2088174 8174.2088174 299.8072015
19.9529062 0.3727774 8960.5418637 8960.5418637 299.7651647
22.3872322 0.3653436 9824.4366971 9824.4366971 299.7381216
25.1199938 0.3579406 10774.8016710 10774.8016710 299.7112195
28.1840786 0.3522722 11819.1065018 11819.1065018 299.6692366
31.6237393 0.3424836 12965.2471934 12965.2471934 299.6379326
35.4826072 0.3389314 14230.3902093 14230.3902093 299.6016429
39.8132470 0.3328051 15626.5897180 15626.5897180 299.5610324
44.6694872 0.3252842 17165.0175000 17165.0175000 299.5250257
50.1205675 0.3192127 18863.5303369 18863.5303369 299.4580682
56.2377471 0.3128844 20723.5313072 20723.5313072 299.4231000
63.0967693 0.3074021 22769.8738916 22769.8738916 299.3733979
70.7954662 0.3008378 25025.0955451 25025.0955451 299.3166344
79.4340106 0.2976940 27511.0045509 27511.0045509 299.2505317
89.1259377 0.2918851 30252.7517203 30252.7517203 299.1882805
100.0026275 0.2856714 33258.8353314 33258.8353314 299.1510958
112.2074471 0.2809413 36574.6457132 36574.6457132 299.0709438
125.8964104 0.2729870 40216.5244356 40216.5244356 298.9839726
141.2559945 0.2686757 44250.6454356 44250.6454356 298.8984892
158.4947918 0.2634007 48683.6778306 48683.6778306 298.8194397
177.8326602 0.2577331 53521.3712101 53521.3712101 298.7278519
199.5344894 0.2491318 58854.9485168 58854.9485168 298.6495618
223.8731455 0.2510733 64697.8319794 64697.8319794 298.5240499
251.1895596 0.2448603 71186.1019858 71186.1019858 298.4053593
281.8404883 0.2406813 78282.3287921 78282.3287921 298.2687145
316.2378815 0.2353223 86092.0019514 86092.0019514 298.1138563
354.8252370 0.2289755 94684.3141127 94684.3141127 297.8886612
398.1250863 0.2252191 104123.5386146 104123.5386146 297.6649325
446.6934609 0.2182033 114465.3116859 114465.3116859 297.4149505
501.1903976 0.2124928 125790.5615531 125790.5615531 297.1295490
562.3470481 0.2080807 138162.4954959 138162.4954959 296.8705632
630.9576992 0.2001695 151707.7616410 151707.7616410 296.6140604
707.9626349 0.1983556 166516.2365978 166516.2365978 296.3198637
794.3311114 0.1958036 182888.0746707 182888.0746707 295.9492736
891.2901875 0.1900169 200875.5085598 200875.5085598 295.6931147
1000.0152949 0.1892841 220733.1209968 220733.1209968 295.3882448
1122.0453570 0.1868706 242700.2913057 242700.2913057 294.9428093
1258.9519017 0.1816477 266711.2643938 266711.2643938 294.5857237
1412.6025846 0.1793040 293347.7720387 293347.7720387 294.1629042
1584.9192513 0.1764664 322730.8187148 322730.8187148 293.7513514
1778.3297629 0.1714100 354859.6884271 354859.6884271 293.2613763
1995.3396487 0.1669103 389871.0879721 389871.0879721 292.8515041
2238.7495208 0.1587396 427868.0761473 427868.0761473 292.3030367
2511.9332487 0.1548909 468976.6219429 468976.6219429 291.5211837
2818.4067961 0.1503752 514030.9920222 514030.9920222 290.9581374
3162.3160538 0.1428170 562647.5342167 562647.5342167 290.5376810
3548.2246552 0.1444167 616093.7658492 616093.7658492 290.0400041
3981.0824729 0.1400309 675103.2635967 675103.2635967 289.3098456
4466.8445267 0.1409727 740706.4680238 740706.4680238 288.5647440
5011.9508737 0.1359762 812714.6706583 812714.6706583 287.8696107
5623.4686414 0.1331032 891810.9144993 891810.9144993 287.1900328
6309.6060499 0.1297806 977445.1406793 977445.1406793 286.4636716
7079.5178905 0.1321892 1073067.2325699 1073067.2325699 285.8218002
7943.3360745 0.1415794 1185492.1942131 1185492.1942131 285.1203392
8912.5538779 0.1401114 1316251.2709693 1316251.2709693 284.6378532
10000.0576380 0.1363638 1459532.1289581 1459532.1289581 284.1340697
11220.2837932 0.1323616 1618301.7065922 1618301.7065922 283.6644854
12589.2832138 0.1274166 1790163.3829397 1790163.3829397 282.9426459
14125.4898594 0.1237879 1971299.1182804 1971299.1182804 282.1387321
15849.0266991 0.1231335 2177256.3523539 2177256.3523539 281.4181524
17782.8284773 0.1212273 2406153.8464621 2406153.8464621 280.5592468
19952.6405589 0.1293480 2665568.9859252 2665568.9859252 279.1003611
22387.3110130 0.1202589 2958482.0497713 2958482.0497713 278.4115962
25118.9399788 0.1133870 3262781.1087518 3262781.1087518 277.7021121
