6004 -4 0 985.741
0.0325500 0.9688926 31.4615072 31.4615072 298.8391630
0.0357000 0.9667472 34.4654579 34.4654579 298.8793381
0.0399000 0.9637072 38.4602621 38.4602621 298.9254038
0.0451500 0.9598050 43.4348089 43.4348089 298.9840702
0.0504000 0.9561022 48.3904385 48.3904385 299.0410446
0.0567000 0.9523520 54.3137961 54.3137961 299.1192966
0.0640500 0.9476528 61.1951622 61.1951622 299.1992125
0.0714000 0.9436045 68.0448035 68.0448035 299.2722721
0.0798000 0.9375942 75.8297503 75.8297503 299.3467330
0.0892500 0.9320943 84.5363754 84.5363754 299.4274942
0.1008000 0.9253934 95.1066063 95.1066063 299.5155930
0.1123500 0.9185839 105.5999808 105.5999808 299.5883485
0.1260000 0.9110955 117.9035029 117.9035029 299.6725891
0.1417500 0.9037140 131.9852527 131.9852527 299.7741607
0.1585500 0.8949088 146.8697846 146.8697846 299.8678789
0.1785000 0.8863105 164.3779351 164.3779351 299.9520442
0.2005500 0.8752320 183.5219821 183.5219821 300.0428380
0.2247000 0.8645794 204.2266900 204.2266900 300.1261185
0.2520000 0.8539242 227.3463979 227.3463979 300.2165771
0.2824500 0.8420345 252.7891098 252.7891098 300.2643922
0.3171000 0.8288842 281.3102565 281.3102565 300.3117577
0.3549000 0.8151931 311.9273175 311.9273175 300.3669155
0.3990000 0.8008265 347.0146288 347.0146288 300.4215397
0.4473000 0.7871672 384.8129693 384.8129693 300.4667816
0.5019000 0.7729505 426.7805767 426.7805767 300.5014155
0.5628000 0.7574284 472.7299031 472.7299031 300.5225788
0.6310500 0.7417651 523.1295673 523.1295673 300.5455909
0.7087500 0.7253820 579.3063959 579.3063959 300.5475065
0.7948500 0.7090116 640.2306959 640.2306959 300.5723064
0.8914500 0.6923967 707.0066073 707.0066073 300.5848266
1.0006500 0.6759090 780.6313720 780.6313720 300.5676984
1.1227651 0.6584105 860.9816246 860.9816246 300.5701281
1.2594751 0.6398873 948.4508424 948.4508424 300.5564589
1.4127226 0.6235737 1043.8458110 1043.8458110 300.5133677
1.5858151 0.6087266 1148.9751551 1148.9751551 300.5080821
1.7787526 0.5909156 1263.0574113 1263.0574113 300.4878391
1.9959451 0.5744660 1387.9983122 1387.9983122 300.4487688
2.2393220 0.5583670 1523.8910113 1523.8910113 300.4303430
2.5125215 0.5444643 1672.4326046 1672.4326046 300.3933512
2.8192921 0.5296417 1834.6178124 1834.6178124 300.3992911
3.1631068 0.5145698 2011.2231827 2011.2231827 300.3278094
3.5483644 0.5016516 2203.9348652 2203.9348652 300.3141934
3.9810846 0.4857717 2414.4820062 2414.4820062 300.2579128
4.4672872 0.4761472 2645.3479045 2645.3479045 300.3073840
5.0118948 0.4605482 2897.2406344 2897.2406344 300.2223141
5.6245099 0.4461330 3170.2827591 3170.2827591 300.2179706
6.3098094 0.4355019 3468.4257220 3468.4257220 300.1851689
7.0803644 0.4282743 3796.2019577 3796.2019577 300.1848901
7.9440561 0.4143730 4156.6046159 4156.6046159 300.1469245
8.9125633 0.4070841 4548.4102862 4548.4102862 300.1339571
10.0014481 0.3971076 4980.3170511 4980.3170511 300.0945307
11.2210876 0.3849198 5451.4877389 5451.4877389 300.0569374
12.5894367 0.3766005 5966.9088285 5966.9088285 300.0309453
14.1269504 0.3705541 6531.8818807 6531.8818807 299.9676234
15.8491767 0.3617978 7154.1920716 7154.1920716 299.9795766
17.7840324 0.3549508 7837.7830024 7837.7830024 299.9160010
19.9529062 0.3419886 8585.7879934 8585.7879934 299.8367030
22.3872322 0.3419686 9403.8184679 9403.8184679 299.8047617
25.1199938 0.3325247 10310.5961121 10310.5961121 299.7717024
28.1840786 0.3195687 11294.2350559 11294.2350559 299.7476013
31.6237393 0.3197589 12373.1948027 12373.1948027 299.6972439
35.4826072 0.3103864 13568.8160595 13568.8160595 299.6120418
39.8132470 0.3060951 14885.7217905 14885.7217905 299.6429481
44.6694872 0.2952754 16303.8948260 16303.8948260 299.5447986
50.1205675 0.2879195 17873.8943890 17873.8943890 299.4558612
56.2377471 0.2829956 19597.5924173 19597.5924173 299.4128541
63.0967693 0.2746284 21505.0064384 21505.0064384 299.3466527
70.7954662 0.2693125 23588.9593218 23588.9593218 299.3053513
79.4340106 0.2708599 25891.8904687 25891.8904687 299.2342992
89.1259377 0.2594896 28406.5017644 28406.5017644 299.1031619
100.0026275 0.2526013 31162.9301820 31162.9301820 299.0347472
112.2074471 0.2486159 34200.9000529 34200.9000529 298.9296898
125.8964104 0.2421699 37540.5298750 37540.5298750 298.7415353
141.2559945 0.2396203 41229.6189803 41229.6189803 298.5563385
158.4947918 0.2355519 45256.7996055 45256.7996055 298.4036616
177.8326602 0.2311754 49647.2510631 49647.2510631 298.2302111
199.5344894 0.2260756 54478.3012828 54478.3012828 298.0971334
223.8731455 0.2152002 59697.7493906 59697.7493906 297.9102139
251.1895596 0.2091180 65419.7271067 65419.7271067 297.6752730
281.8404883 0.2039949 71641.9595326 71641.9595326 297.5590458
316.2378815 0.1958620 78412.3918824 78412.3918824 297.2814116
354.8252370 0.1925875 85829.4487709 85829.4487709 297.0963506
398.1250863 0.1835342 93899.4423659 93899.4423659 296.8129199
446.6934609 0.1795588 102731.6565123 102731.6565123 296.5845495
501.1903976 0.1763419 112371.1484272 112371.1484272 296.2971819
562.3470481 0.1717131 123011.3603208 123011.3603208 296.1286597
630.9576992 0.1687907 134678.1775072 134678.1775072 295.7934653
707.9626349 0.1730773 147744.3729721 147744.3729721 295.4093966
794.3311114 0.1711783 162334.2202245 162334.2202245 294.9923880
891.2901875 0.1658788 178561.7153185 178561.7153185 294.5491457
1000.0152949 0.1635372 196367.9126200 196367.9126200 294.0891742
1122.0453570 0.1645678 216104.6181101 216104.6181101 293.7366091
1258.9519017 0.1519488 237686.7553047 237686.7553047 293.2672421
1412.6025846 0.1494636 260985.2470121 260985.2470121 292.9284419
1584.9192513 0.1452993 286342.3852906 286342.3852906 292.4366958
1778.3297629 0.1425210 314271.2960757 314271.2960757 292.1415582
1995.3396487 0.1498752 345209.9344658 345209.9344658 291.7900721
2238.7495208 0.1443363 379983.9603078 379983.9603078 291.1066198
2511.9332487 0.1495611 419182.4390374 419182.4390374 290.4480076
2818.4067961 0.1421748 461982.8911684 461982.8911684 289.8793401
3162.3160538 0.1392730 508970.6398106 508970.6398106 289.2960428
3548.2246552 0.1237238 559872.3707661 559872.3707661 288.6599086
3981.0824729 0.1348862 615803.3526568 615803.3526568 288.1799985
4466.8445267 0.1306223 678214.0828493 678214.0828493 287.5378610
5011.9508737 0.1329351 747828.5030237 747828.5030237 286.8041343
5623.4686414 0.1308675 827080.7960027 827080.7960027 285.8530911
6309.6060499 0.1250289 914072.7269409 914072.7269409 285.2985615
7079.5178905 0.1213202 1008148.3340023 1008148.3340023 284.3023761
7943.3360745 0.1169652 1112314.2392163 1112314.2392163 283.5634657
8912.5538779 0.1151720 1223977.9318383 1223977.9318383 282.7697116
10000.0576380 0.1072731 1344265.6870013 1344265.6870013 281.5759687
11220.2837932 0.0925122 1469370.5218861 1469370.5218861 280.1590432
12589.2832138 0.0963344 1602768.1679239 1602768.1679239 279.4214126
14125.4898594 0.1029765 1756161.9711720 1756161.9711720 278.5903232
15849.0266991 0.0872813 1923264.0329165 1923264.0329165 277.8243307
17782.8284773 0.0874035 2087571.3861196 2087571.3861196 277.1026564
19952.6405589 0.0750671 2266975.6225265 2266975.6225265 276.4677455
22387.3110130 0.0709807 2442566.8605166 2442566.8605166 276.0888570
25118.9399788 0.0672797 2630954.8195626 2630954.8195626 275.9478309
28183.8378200 0.0684337 2839648.7155445 2839648.7155445 275.7301391
31622.8492882 0.0717338 3073837.4361568 3073837.4361568 275.4144207
35481.3448326 0.0697861 3350486.2666574 3350486.2666574 275.2449131
39810.8123001 0.0815817 3673513.8859424 3673513.8859424 274.4611438
44668.4408210 0.0723469 4022389.4802217 4022389.4802217 273.6990199
50118.8218320 0.0673328 4386036.7547934 4386036.7547934 273.3433881
56234.1823694 0.0635448 4792530.2012889 4792530.2012889 273.1197008
63095.8439737 0.0577150 5210746.2748441 5210746.2748441 272.6864911
70794.7386130 0.0606671 5682052.5761343 5682052.5761343 272.3252260
79432.9897122 0.0630334 6211434.6599898 6211434.6599898 272.4368719
89125.2011949 0.0578203 6794927.5767537 6794927.5767537 272.2829569
100000.1496297 0.0593349 7436926.4610297 7436926.4610297 272.1940200
