6009 -4.66 0 1092.13
0.0325500 1.0416874 37.3247622 37.3247622 2926.8016323
0.0357000 1.0402387 40.9050283 40.9050283 2926.8031073
0.0399000 1.0381383 45.6706262 45.6706262 2926.8033939
0.0451500 1.0354129 51.6135968 51.6135968 2926.8030137
0.0504000 1.0328841 57.5415547 57.5415547 2926.8030074
0.0567000 1.0297559 64.6349120 64.6349120 2926.8025632
0.0640500 1.0261925 72.8845264 72.8845264 2926.8014748
0.0714000 1.0226464 81.1062950 81.1062950 2926.7972783
0.0798000 1.0188538 90.4679747 90.4679747 2926.7953670
0.0892500 1.0146378 100.9581382 100.9581382 2926.7945244
0.1008000 1.0095833 113.7215703 113.7215703 2926.7893130
0.1123500 1.0047735 126.4234279 126.4234279 2926.7837967
0.1260000 0.9992347 141.3577295 141.3577295 2926.7771291
0.1417500 0.9926909 158.4864736 158.4864736 2926.7631832
0.1585500 0.9861952 176.6354469 176.6354469 2926.7495837
0.1785000 0.9789956 198.0369386 198.0369386 2926.7350993
0.2005500 0.9714856 221.5178222 221.5178222 2926.7163832
0.2247000 0.9631528 247.0262936 247.0262936 2926.6924358
0.2520000 0.9545649 275.6079206 275.6079206 2926.6702594
0.2824500 0.9455088 307.1895179 307.1895179 2926.6459458
0.3171000 0.9361775 342.7927563 342.7927563 2926.6183294
0.3549000 0.9257443 381.2251946 381.2251946 2926.5794768
0.3990000 0.9141918 425.5264595 425.5264595 2926.5375266
0.4473000 0.9031359 473.4590661 473.4590661 2926.4969349
0.5019000 0.8909778 526.9275827 526.9275827 2926.4428506
0.5628000 0.8785789 585.7509748 585.7509748 2926.3873524
0.6310500 0.8660433 650.7711289 650.7711289 2926.3380344
0.7087500 0.8532582 723.6995892 723.6995892 2926.2824558
0.7948500 0.8405415 803.2966474 803.2966474 2926.2228602
0.8914500 0.8268383 891.2323576 891.2323576 2926.1724424
1.0006500 0.8125658 988.9543392 988.9543392 2926.1170256
1.1227651 0.7987778 1096.4086809 1096.4086809 2926.0585859
1.2594751 0.7856303 1214.6107068 1214.6107068 2925.9981005
1.4127226 0.7721056 1344.9318290 1344.9318290 2925.9360947
1.5858151 0.7592758 1489.5748231 1489.5748231 2925.8749983
1.7787526 0.7460086 1648.0788882 1648.0788882 2925.8238361
1.9959451 0.7313325 1823.3272593 1823.3272593 2925.7730682
2.2393220 0.7184811 2015.9795067 2015.9795067 2925.7256655
2.5125215 0.7059129 2228.5074923 2228.5074923 2925.6574626
2.8192921 0.6936104 2462.9102986 2462.9102986 2925.6123935
3.1631068 0.6798082 2720.8612509 2720.8612509 2925.5565550
3.5483644 0.6680626 3004.2548457 3004.2548457 2925.5074781
3.9810846 0.6573445 3317.3849687 3317.3849687 2925.4667675
