6009 -4 0 796.099
0.0325500 0.9674358 25.4685814 25.4685814 30.1219555
0.0357000 0.9642179 27.8890199 27.8890199 30.1516303
0.0399000 0.9607867 31.1056397 31.1056397 30.1892264
0.0451500 0.9562831 35.1101145 35.1101145 30.2314489
0.0504000 0.9515624 39.0950707 39.0950707 30.2742261
0.0567000 0.9461763 43.8512561 43.8512561 30.3216674
0.0640500 0.9402452 49.3672993 49.3672993 30.3727724
0.0714000 0.9344095 54.8490899 54.8490899 30.4290945
0.0798000 0.9269739 61.0690569 61.0690569 30.4889142
0.0892500 0.9200023 68.0131368 68.0131368 30.5461663
0.1008000 0.9109674 76.4276080 76.4276080 30.6046628
0.1123500 0.9031959 84.7660660 84.7660660 30.6778705
0.1260000 0.8934115 94.5244846 94.5244846 30.7423761
0.1417500 0.8825164 105.6481457 105.6481457 30.8191427
0.1585500 0.8711650 117.3687776 117.3687776 30.8895808
0.1785000 0.8579133 131.0933029 131.0933029 30.9586908
0.2005500 0.8443670 146.0249950 146.0249950 31.0272816
0.2247000 0.8322523 162.1423342 162.1423342 31.0934900
0.2520000 0.8184906 180.0727496 180.0727496 31.1680074
0.2824500 0.8044776 199.7398732 199.7398732 31.2410979
0.3171000 0.7885054 221.6998355 221.6998355 31.2975114
0.3549000 0.7723754 245.1808140 245.1808140 31.3296562
0.3990000 0.7549225 271.9745447 271.9745447 31.3569346
0.4473000 0.7389470 300.6988192 300.6988192 31.4230044
0.5019000 0.7198919 332.3750108 332.3750108 31.4569706
0.5628000 0.7011799 366.8217470 366.8217470 31.4830305
0.6310500 0.6837998 404.4455485 404.4455485 31.4808635
0.7087500 0.6649409 446.1289472 446.1289472 31.5111737
0.7948500 0.6471494 491.0971058 491.0971058 31.5417000
0.8914500 0.6273257 540.0803132 540.0803132 31.5477422
1.0006500 0.6075269 593.7469406 593.7469406 31.5666805
1.1227651 0.5884707 651.9285853 651.9285853 31.5857279
1.2594751 0.5724190 715.0173121 715.0173121 31.6008907
1.4127226 0.5560839 783.7997986 783.7997986 31.5974306
1.5858151 0.5358139 858.8773985 858.8773985 31.5978954
1.7787526 0.5160236 939.4728722 939.4728722 31.5596727
1.9959451 0.4978508 1026.8599486 1026.8599486 31.5624881
2.2393220 0.4779539 1121.1747583 1121.1747583 31.5586425
2.5125215 0.4599839 1223.4548554 1223.4548554 31.5549806
2.8192921 0.4470594 1334.2355935 1334.2355935 31.5340956
3.1631068 0.4333108 1454.5174351 1454.5174351 31.5215001
3.5483644 0.4204840 1585.1383597 1585.1383597 31.5219379
3.9810846 0.4059480 1727.2361808 1727.2361808 31.5304433
4.4672872 0.3869481 1880.5935722 1880.5935722 31.5329592
5.0118948 0.3753389 2045.4866508 2045.4866508 31.5264059
5.6245099 0.3603564 2224.9146743 2224.9146743 31.5191930
6.3098094 0.3469781 2417.0346965 2417.0346965 31.5131283
7.0803644 0.3334070 2625.8379232 2625.8379232 31.5004632
7.9440561 0.3230214 2852.0800460 2852.0800460 31.4789167
8.9125633 0.3115910 3097.7432864 3097.7432864 31.4831422
10.0014481 0.2991289 3362.7339648 3362.7339648 31.4889582
11.2210876 0.2896550 3651.2712547 3651.2712547 31.4761796
12.5894367 0.2802252 3962.0758586 3962.0758586 31.4254961
14.1269504 0.2718922 4300.7472474 4300.7472474 31.4364599
15.8491767 0.2616761 4666.4968542 4666.4968542 31.4141751
17.7840324 0.2544675 5065.0782103 5065.0782103 31.4047786
19.9529062 0.2427485 5498.5198225 5498.5198225 31.4154175
22.3872322 0.2412685 5965.9836871 5965.9836871 31.4075087
25.1199938 0.2308089 6477.0083126 6477.0083126 31.3562984
28.1840786 0.2191718 7025.8781395 7025.8781395 31.3763890
31.6237393 0.2166229 7619.5769080 7619.5769080 31.3651686
35.4826072 0.2087128 8268.1734254 8268.1734254 31.3312358
39.8132470 0.2003161 8974.9187372 8974.9187372 31.2932365
44.6694872 0.2003374 9744.7798609 9744.7798609 31.2979740
50.1205675 0.1940547 10597.5255228 10597.5255228 31.2631496
56.2377471 0.1831117 11518.7121890 11518.7121890 31.2679720
63.0967693 0.1775484 12508.5271579 12508.5271579 31.2299153
70.7954662 0.1725461 13587.6392335 13587.6392335 31.1766095
79.4340106 0.1705306 14764.1706664 14764.1706664 31.1801900
89.1259377 0.1631642 16052.0252538 16052.0252538 31.1287251
100.0026275 0.1573824 17417.1773549 17417.1773549 31.1196863
112.2074471 0.1533680 18921.3048828 18921.3048828 31.0855607
125.8964104 0.1417788 20524.5463094 20524.5463094 31.0318524
141.2559945 0.1414583 22288.9748384 22288.9748384 30.9585660
158.4947918 0.1374168 24188.1988547 24188.1988547 30.8898466
177.8326602 0.1327200 26235.3625221 26235.3625221 30.8785986
199.5344894 0.1309691 28454.4161561 28454.4161561 30.7964326
223.8731455 0.1181274 30889.3789232 30889.3789232 30.7576744
251.1895596 0.1205878 33462.7580430 33462.7580430 30.6560485
281.8404883 0.1113612 36231.1097018 36231.1097018 30.5247157
316.2378815 0.1044836 39201.0749403 39201.0749403 30.4282504
354.8252370 0.1049921 42458.2932219 42458.2932219 30.3230872
