6011 -3.66 0 901
0.0325500 0.9579502 28.5214533 28.5214533 91.8323749
0.0357000 0.9550642 31.2350152 31.2350152 91.9220349
0.0399000 0.9514834 34.8400819 34.8400819 92.0463905
0.0451500 0.9471178 39.3270727 39.3270727 92.2000249
0.0504000 0.9422468 43.7921417 43.7921417 92.3404446
0.0567000 0.9382010 49.1268564 49.1268564 92.5025483
0.0640500 0.9319059 55.3155421 55.3155421 92.6754171
0.0714000 0.9256771 61.4645928 61.4645928 92.8521923
0.0798000 0.9185106 68.4413515 68.4413515 93.0235937
0.0892500 0.9119623 76.2331493 76.2331493 93.2515159
0.1008000 0.9033350 85.6764991 85.6764991 93.4852804
0.1123500 0.8958884 95.0389708 95.0389708 93.7116775
0.1260000 0.8860195 105.9910231 105.9910231 93.9269780
0.1417500 0.8773357 118.4981222 118.4981222 94.1802481
0.1585500 0.8653985 131.6845831 131.6845831 94.3919741
0.1785000 0.8536017 147.1213207 147.1213207 94.6633532
0.2005500 0.8428038 163.9697684 163.9697684 94.9032934
0.2247000 0.8303043 182.1689132 182.1689132 95.1111388
0.2520000 0.8163363 202.4134011 202.4134011 95.3577480
0.2824500 0.8022080 224.5960510 224.5960510 95.6294244
0.3171000 0.7867129 249.3941349 249.3941349 95.8170889
0.3549000 0.7721974 275.9053601 275.9053601 96.0346138
0.3990000 0.7569324 306.2757898 306.2757898 96.2103299
0.4473000 0.7400345 338.8298809 338.8298809 96.3813909
0.5019000 0.7245791 374.8803433 374.8803433 96.5670295
0.5628000 0.7088754 414.1805167 414.1805167 96.7107220
0.6310500 0.6899565 457.1786391 457.1786391 96.8766271
0.7087500 0.6735513 504.8995707 504.8995707 97.0529067
0.7948500 0.6535355 556.2572905 556.2572905 97.1621274
0.8914500 0.6351890 612.3509726 612.3509726 97.2745115
1.0006500 0.6155362 673.8638585 673.8638585 97.3571354
1.1227651 0.5973405 740.6033945 740.6033945 97.4243512
1.2594751 0.5743263 812.8845875 812.8845875 97.5170670
1.4127226 0.5580683 891.1558889 891.1558889 97.5642686
1.5858151 0.5423856 976.8253368 976.8253368 97.6341019
1.7787526 0.5316668 1069.9246053 1069.9246053 97.6711458
1.9959451 0.5150094 1172.3332296 1172.3332296 97.7781474
2.2393220 0.4946149 1282.9788894 1282.9788894 97.8245982
2.5125215 0.4788866 1402.5967811 1402.5967811 97.8472159
2.8192921 0.4649399 1532.8040503 1532.8040503 97.8199713
3.1631068 0.4495131 1674.5845824 1674.5845824 97.8373516
3.5483644 0.4329612 1828.1204545 1828.1204545 97.9349611
3.9810846 0.4234203 1994.6221014 1994.6221014 98.0208457
4.4672872 0.4139833 2177.7558987 2177.7558987 97.9778976
5.0118948 0.3972263 2377.1625027 2377.1625027 97.9445161
5.6245099 0.3865191 2592.3906559 2592.3906559 98.0057928
6.3098094 0.3745594 2827.8236630 2827.8236630 98.0675045
7.0803644 0.3638815 3084.6914646 3084.6914646 98.0617178
7.9440561 0.3546683 3364.6779788 3364.6779788 98.1446312
8.9125633 0.3349836 3665.1623518 3665.1623518 98.0746660
10.0014481 0.3276689 3990.3012638 3990.3012638 98.0829287
11.2210876 0.3197589 4344.8028200 4344.8028200 98.1181054
12.5894367 0.3101769 4733.9913131 4733.9913131 98.1328722
14.1269504 0.3056287 5162.7992291 5162.7992291 98.1315767
15.8491767 0.2919649 5628.3565905 5628.3565905 98.1144979
17.7840324 0.2837338 6135.9197626 6135.9197626 98.2210167
19.9529062 0.2807446 6687.2137266 6687.2137266 98.1480954
22.3872322 0.2701281 7291.1575509 7291.1575509 98.1782622
25.1199938 0.2638637 7950.8392197 7950.8392197 98.1760573
28.1840786 0.2563249 8665.1985064 8665.1985064 98.1078324
31.6237393 0.2493499 9452.1909991 9452.1909991 98.1649633
35.4826072 0.2422202 10298.7984531 10298.7984531 98.1111323
39.8132470 0.2481258 11251.8377717 11251.8377717 98.1089812
44.6694872 0.2378808 12294.0935918 12294.0935918 98.1449215
50.1205675 0.2307647 13415.9654349 13415.9654349 98.0226445
56.2377471 0.2226130 14632.4120637 14632.4120637 98.0126231
63.0967693 0.2119923 15972.8876687 15972.8876687 97.8980195
70.7954662 0.2105401 17449.1662001 17449.1662001 97.9413094
79.4340106 0.2038544 19067.9382936 19067.9382936 97.8828183
89.1259377 0.1939734 20802.2135731 20802.2135731 97.7212933
100.0026275 0.1911438 22671.7445807 22671.7445807 97.6865893
112.2074471 0.1875862 24716.6158869 24716.6158869 97.6488723
125.8964104 0.1786151 27006.9482669 27006.9482669 97.5467928
141.2559945 0.1744891 29443.0172143 29443.0172143 97.3908300
158.4947918 0.1697564 32180.6314280 32180.6314280 97.3014873
177.8326602 0.1688937 35131.7608079 35131.7608079 97.2301843
199.5344894 0.1622705 38380.4912939 38380.4912939 97.1298326
223.8731455 0.1621210 41889.8738458 41889.8738458 97.0121255
251.1895596 0.1503981 45589.9290141 45589.9290141 97.0000797
281.8404883 0.1553017 49655.2965764 49655.2965764 96.6840097
316.2378815 0.1400420 54128.3196000 54128.3196000 96.4973612
354.8252370 0.1374532 58988.5763860 58988.5763860 96.3324802
398.1250863 0.1240239 64040.4799269 64040.4799269 95.9740020
446.6934609 0.1264773 69437.4058861 69437.4058861 95.7894618
501.1903976 0.1143494 75273.7241825 75273.7241825 95.3960214
562.3470481 0.1116207 81399.4617517 81399.4617517 95.1534907
630.9576992 0.0961241 87818.1778243 87818.1778243 94.8485523
707.9626349 0.0914018 94528.2914720 94528.2914720 94.5022930
794.3311114 0.0822491 101497.6606057 101497.6606057 94.2465466
891.2901875 0.0787559 108924.0335951 108924.0335951 93.7168725
1000.0152949 0.0803254 116695.1413021 116695.1413021 93.1555947
1122.0453570 0.0778929 125293.7895343 125293.7895343 92.9313165
1258.9519017 0.0699170 134444.5608716 134444.5608716 92.3172664
1412.6025846 0.0686528 144072.2734798 144072.2734798 91.9723778
1584.9192513 0.0730479 155180.1134726 155180.1134726 91.4531385
1778.3297629 0.0695569 166932.5962712 166932.5962712 91.2030863
1995.3396487 0.0635101 179541.0313743 179541.0313743 90.8809438
2238.7495208 0.0598272 192762.0564830 192762.0564830 90.4181639
2511.9332487 0.0575846 206748.1010804 206748.1010804 89.7340446
2818.4067961 0.0540443 221940.3096095 221940.3096095 88.6449278
3162.3160538 0.0558525 238268.1441987 238268.1441987 87.5578041
3548.2246552 0.0465003 255574.5313318 255574.5313318 86.3250185
3981.0824729 0.0464949 274976.8926920 274976.8926920 85.3323619
4466.8445267 0.0539621 297469.4664302 297469.4664302 84.5173480
5011.9508737 0.0476736 321690.4462798 321690.4462798 83.5566014
5623.4686414 0.0430479 347128.3469789 347128.3469789 82.5508874
6309.6060499 0.0362968 371264.4775049 371264.4775049 81.7415280
7079.5178905 0.0381861 395674.3157519 395674.3157519 80.8601203
7943.3360745 0.0256559 419113.4911443 419113.4911443 79.9158447
8912.5538779 0.0262093 443488.9498649 443488.9498649 79.1481955
10000.0576380 0.0232709 467135.3732112 467135.3732112 78.6476568
11220.2837932 0.0306156 497063.4018900 497063.4018900 78.1285517
12589.2832138 0.0245285 529849.3729897 529849.3729897 77.7477043
14125.4898594 0.0173305 557459.4953411 557459.4953411 77.3352113
15849.0266991 0.0148623 586091.5716593 586091.5716593 76.6724509
17782.8284773 0.0316707 626740.7945462 626740.7027424 75.9139396
19952.6405589 0.0156479 673624.9080085 673624.8162047 75.2850732
22387.3110130 0.0220645 728388.9232321 728388.8314283 74.6880643
25118.9399788 0.0266115 789050.4187856 789050.3269818 74.0491496
28183.8378200 0.0207325 851613.6484133 851613.5566095 73.6699831
31622.8492882 0.0217086 914715.7680433 914715.6762395 73.4063116
35481.3448326 0.0242012 977478.7547712 977478.6629674 73.2868132
39810.8123001 0.0020186 1034215.4819983 1034212.3847434 72.7276360
44668.4408210 0.0081141 1084909.9325129 1084873.1434951 72.2922044
50118.8218320 0.0156539 1150310.2020335 1150262.0116474 71.9965307
56234.1823694 0.0114424 1247134.0116605 1247085.8212744 71.8705248
63095.8439737 0.0161996 1338201.0407560 1338149.9932419 71.9199041
70794.7386130 0.0031824 1400018.7948707 1399626.4550805 71.6566175
79432.9897122 0.0091920 1471560.8070788 1470889.2535454 71.4454684
89125.2011949 0.0141669 1570318.6106297 1569586.7472032 71.3276041
100000.1496297 0.0106405 1665741.2279588 1664736.8381649 70.9599175
112201.9339986 0.0070122 1760645.7641495 1759225.3743618 70.9737352
125892.6936390 0.0068540 1875216.0161682 1873339.6133972 71.2590427
