6004 -3.74 0 887.073
0.0325500 0.9680816 28.3517056 28.3517056 89.6625213
0.0357000 0.9655419 31.0523103 31.0523103 89.7396898
0.0399000 0.9609821 34.6394896 34.6394896 89.8253087
0.0451500 0.9565252 39.1025604 39.1025604 89.9416955
0.0504000 0.9521422 43.5443248 43.5443248 90.0536628
0.0567000 0.9468616 48.8478983 48.8478983 90.1808336
0.0640500 0.9411816 55.0010431 55.0010431 90.3189764
0.0714000 0.9351067 61.1142870 61.1142870 90.4561577
0.0798000 0.9284715 68.0534254 68.0534254 90.6024202
0.0892500 0.9210567 75.8004261 75.8004261 90.7684858
0.1008000 0.9121652 85.1872908 85.1872908 90.9390689
0.1123500 0.9045620 94.4876690 94.4876690 91.1247250
0.1260000 0.8950742 105.3798389 105.3798389 91.3049224
0.1417500 0.8858194 117.8126366 117.8126366 91.4985853
0.1585500 0.8758654 130.9354486 130.9354486 91.7080451
0.1785000 0.8643566 146.3237119 146.3237119 91.8941135
0.2005500 0.8537269 163.1104856 163.1104856 92.0905389
0.2247000 0.8427495 181.2701530 181.2701530 92.2683386
0.2520000 0.8282861 201.4881486 201.4881486 92.4568805
0.2824500 0.8136103 223.6486464 223.6486464 92.6140036
0.3171000 0.7995816 248.4377590 248.4377590 92.8141819
0.3549000 0.7847687 274.9882777 274.9882777 92.9629306
0.3990000 0.7694085 305.3714552 305.3714552 93.0894661
0.4473000 0.7537544 337.9815737 337.9815737 93.2616211
0.5019000 0.7395796 374.1166737 374.1166737 93.4131370
0.5628000 0.7203894 413.5437246 413.5437246 93.4934715
0.6310500 0.7018055 456.6156645 456.6156645 93.6145363
0.7087500 0.6850003 504.3907166 504.3907166 93.7001677
0.7948500 0.6706721 556.1608595 556.1608595 93.7823256
0.8914500 0.6530978 612.8835179 612.8835179 93.8808381
1.0006500 0.6305712 674.9840558 674.9840558 93.9077517
1.1227651 0.6119573 742.3272915 742.3272915 93.9270044
1.2594751 0.5932512 815.3636314 815.3636314 94.0652297
1.4127226 0.5798335 894.9744005 894.9744005 94.0801827
1.5858151 0.5590770 982.1040746 982.1040746 94.1360444
1.7787526 0.5408279 1076.1538687 1076.1538687 94.1301230
1.9959451 0.5259205 1179.0189316 1179.0189316 94.1987526
2.2393220 0.5066007 1290.3946374 1290.3946374 94.2565851
2.5125215 0.4912808 1411.1574886 1411.1574886 94.2619895
2.8192921 0.4703711 1541.8124413 1541.8124413 94.2941750
3.1631068 0.4528101 1682.8809773 1682.8809773 94.3279353
3.5483644 0.4426623 1835.8478931 1835.8478931 94.3023357
3.9810846 0.4273960 2003.0054025 2003.0054025 94.3152588
4.4672872 0.4068192 2183.3014781 2183.3014781 94.3172648
5.0118948 0.4032433 2379.6726929 2379.6726929 94.3318052
5.6245099 0.3930019 2596.2304300 2596.2304300 94.3072253
6.3098094 0.3798607 2831.3981674 2831.3981674 94.3388884
7.0803644 0.3679011 3087.9480501 3087.9480501 94.3916093
7.9440561 0.3506870 3363.7995836 3363.7995836 94.4277536
8.9125633 0.3357782 3659.7974981 3659.7974981 94.4016155
10.0014481 0.3346788 3982.7066847 3982.7066847 94.3884461
11.2210876 0.3232086 4336.3317448 4336.3317448 94.3948647
12.5894367 0.3084640 4716.9075083 4716.9075083 94.3142031
14.1269504 0.3067383 5138.8159927 5138.8159927 94.3346811
15.8491767 0.2861970 5586.7579249 5586.7579249 94.3270527
17.7840324 0.2865399 6079.2264405 6079.2264405 94.3343724
19.9529062 0.2756511 6624.1071428 6624.1071428 94.3783842
22.3872322 0.2692548 7216.4094400 7216.4094400 94.3216797
25.1199938 0.2593183 7853.6694343 7853.6694343 94.3482395
28.1840786 0.2502199 8545.2695190 8545.2695190 94.3829519
31.6237393 0.2522706 9314.9850027 9314.9850027 94.3354928
35.4826072 0.2430570 10164.7414680 10164.7414680 94.2472512
39.8132470 0.2342564 11081.3419199 11081.3419199 94.2592431
44.6694872 0.2330457 12070.4849102 12070.4849102 94.3464699
50.1205675 0.2272354 13162.9051472 13162.9051472 94.1885470
56.2377471 0.2196458 14373.7233307 14373.7233307 94.1723952
63.0967693 0.2137552 15691.0319621 15691.0319621 94.1583400
70.7954662 0.2130360 17123.0765230 17123.0765230 94.1159993
79.4340106 0.2081452 18705.6096921 18705.6096921 94.0384213
89.1259377 0.1981161 20425.2480973 20425.2480973 94.0744459
100.0026275 0.1956077 22324.6366622 22324.6366622 93.9601554
112.2074471 0.1895851 24433.1185988 24433.1185988 93.9563410
125.8964104 0.1860724 26702.2312021 26702.2312021 93.8178224
141.2559945 0.1846487 29197.6768174 29197.6768174 93.7832535
158.4947918 0.1732236 31956.4598208 31956.4598208 93.6357967
177.8326602 0.1662918 34915.8781195 34915.8781195 93.6050980
199.5344894 0.1607854 38096.0929629 38096.0929629 93.4632877
223.8731455 0.1605284 41509.5917644 41509.5917644 93.2888268
251.1895596 0.1438966 45193.8314312 45193.8314312 93.2274086
281.8404883 0.1507000 49144.8381618 49144.8381618 93.0109171
316.2378815 0.1454047 53554.4299075 53554.4299075 92.8458452
354.8252370 0.1343920 58384.7395330 58384.7395330 92.7193924
398.1250863 0.1328580 63533.8086410 63533.8086410 92.5830734
446.6934609 0.1299213 69060.9852325 69060.9852325 92.3502045
501.1903976 0.1181041 74901.0616470 74901.0616470 92.1567315
562.3470481 0.1085845 81302.9872948 81302.9872948 91.8977878
630.9576992 0.1071447 88033.8280078 88033.8280078 91.6465520
707.9626349 0.1010512 95360.0454370 95360.0454370 91.4190790
794.3311114 0.1027185 103121.6849987 103121.6849987 91.1327153
891.2901875 0.0906816 111648.1204939 111648.1204939 90.8410665
1000.0152949 0.1021651 120801.9231714 120801.9231714 90.6182129
1122.0453570 0.0906976 130789.1032676 130789.1032676 90.4446767
1258.9519017 0.0836985 141605.9452795 141605.9452795 90.0900690
1412.6025846 0.0694024 152518.8255315 152518.8255315 89.8234501
1584.9192513 0.0665133 163490.7862714 163490.7862714 89.3427622
1778.3297629 0.0628883 174656.8878876 174656.8878876 89.0806786
1995.3396487 0.0661619 187172.8403308 187172.8403308 88.8422751
2238.7495208 0.0629034 200310.9991281 200310.9991281 88.2354451
2511.9332487 0.0617130 215219.9999626 215219.9999626 87.5815397
2818.4067961 0.0600461 231778.0947832 231778.0947832 87.0924220
3162.3160538 0.0525115 248569.3318880 248569.3318880 86.3618034
3548.2246552 0.0547222 267808.0904624 267808.0904624 85.9041470
3981.0824729 0.0575254 289693.3499271 289693.3499271 85.3001971
4466.8445267 0.0518429 314016.4334666 314016.4334666 84.7928522
5011.9508737 0.0478996 338738.3724371 338738.3724371 84.0207201
5623.4686414 0.0592545 367825.4065327 367825.4065327 83.2463283
