1016 0
0 -1.05187 -0.165303
1 -5.73436 -0.115047
2 8.18006 -0.0648063
3 17.3388 -0.0145897
4 1.18834 0.035595
5 9.11792 0.0857402
6 11.8779 0.135838
7 -0.24499 0.18588
8 12.7822 0.235858
9 14.6287 0.285766
10 22.7904 0.335594
11 13.4855 0.385335
12 3.5706 0.434981
13 10.5761 0.484525
14 11.072 0.533958
15 16.4689 0.583273
16 14.7798 0.632461
17 24.2925 0.681516
18 19.1694 0.730429
19 19.1337 0.779192
20 22.1324 0.827799
21 11.9016 0.87624
22 13.8719 0.924509
23 21.5495 0.972599
24 18.2339 1.0205
25 23.4985 1.06821
26 10.1333 1.11571
27 14.7367 1.163
28 17.0239 1.21008
29 24.0593 1.25693
30 26.469 1.30355
31 18.8767 1.34993
32 24.3318 1.39606
33 29.1314 1.44193
34 20.858 1.48755
35 16.9026 1.53289
36 16.9731 1.57796
37 30.1301 1.62275
38 26.0137 1.66725
39 24.933 1.71145
40 40.826 1.75534
41 20.2799 1.79892
42 26.514 1.84219
43 27.1811 1.88513
44 25.74 1.92774
45 28.5043 1.97001
46 27.8858 2.01193
47 23.2341 2.05351
48 28.9021 2.09472
49 25.2295 2.13557
50 44.7993 2.17605
51 28.0863 2.21615
52 31.2247 2.25587
53 34.7642 2.2952
54 37.7775 2.33413
55 32.3221 2.37265
56 42.1105 2.41077
57 31.0853 2.44848
58 45.1749 2.48576
59 28.0986 2.52262
60 26.3194 2.55904
61 35.5635 2.59503
62 35.1349 2.63057
63 45.611 2.66567
64 25.2452 2.7003
65 25.706 2.73448
66 34.7705 2.76819
67 49.1841 2.80143
68 44.082 2.8342
69 46.0064 2.86648
70 38.4493 2.89828
71 50.1702 2.92958
72 36.3971 2.96039
73 46.2815 2.9907
74 53.3858 3.0205
75 45.8284 3.04978
76 38.349 3.07856
77 42.4132 3.10681
78 45.8845 3.13454
79 58.6229 3.16174
80 32.0653 3.1884
81 41.1632 3.21453
82 34.9584 3.24012
83 35.6709 3.26516
84 47.2297 3.28965
85 42.0318 3.31359
86 44.0315 3.33697
87 45.1277 3.35979
88 41.3825 3.38205
89 36.8035 3.40373
90 45.6389 3.42485
91 38.344 3.44539
92 38.2738 3.46535
93 44.4779 3.48473
94 47.203 3.50353
95 39.7125 3.52174
96 44.5742 3.53936
97 49.3747 3.55639
98 36.5671 3.57282
99 49.8692 3.58865
100 41.8487 3.60388
101 45.5363 3.61851
102 42.0904 3.63253
103 48.7338 3.64595
104 31.3309 3.65876
105 43.5325 3.67095
106 37.5155 3.68253
107 43.6326 3.6935
108 27.7836 3.70384
109 36.4267 3.71357
110 35.2683 3.72268
111 35.9547 3.73117
112 33.471 3.73903
113 28.4371 3.74627
114 41.148 3.75288
115 40.7617 3.75887
116 27.2828 3.76423
117 32.7033 3.76896
118 30.9469 3.77306
119 34.4455 3.77653
120 23.225 3.77937
121 34.7011 3.78158
122 38.6716 3.78316
123 40.4215 3.7841
124 29.3585 3.78442
125 35.4847 3.7841
126 35.3191 3.78316
127 29.645 3.78158
128 23.1109 3.77937
129 43.7071 3.77653
130 37.2474 3.77306
131 35.1825 3.76895
132 38.5062 3.76422
133 37.2864 3.75886
134 29.0057 3.75288
135 30.3431 3.74626
136 24.7309 3.73903
137 39.4834 3.73116
138 28.2816 3.72268
139 33.499 3.71357
140 35.893 3.70384
141 29.0613 3.69349
142 26.9131 3.68253
143 29.4981 3.67094
