1001 0
0 -2.39854 0.135311
1 -11.0913 0.185567
2 4.91789 0.235807
3 -0.482435 0.286024
4 1.40719 0.336208
5 2.57402 0.386354
6 0.635639 0.436451
7 21.7136 0.486493
8 -8.77089 0.536472
9 17.391 0.586379
10 9.0823 0.636207
11 20.4628 0.685949
12 13.0906 0.735595
13 11.7847 0.785138
14 19.3834 0.834571
15 22.7819 0.883886
16 15.765 0.933075
17 11.2047 0.982129
18 15.1077 1.03104
19 17.6833 1.07981
20 15.5531 1.12841
21 22.3337 1.17685
22 20.9989 1.22512
23 18.8218 1.27321
24 13.7737 1.32111
25 14.1903 1.36882
26 13.5307 1.41632
27 13.7436 1.46362
28 19.8311 1.51069
29 23.3061 1.55754
30 22.172 1.60416
31 17.4653 1.65054
32 33.9367 1.69667
33 24.3374 1.74255
34 17.2217 1.78816
35 33.3448 1.83351
36 25.9521 1.87858
37 18.0324 1.92336
38 27.7791 1.96786
39 36.0616 2.01206
40 30.24 2.05595
41 32.247 2.09954
42 24.3711 2.1428
43 28.6129 2.18574
44 32.1285 2.22835
45 34.9313 2.27062
46 34.237 2.31255
47 34.6244 2.35412
48 30.9117 2.39533
49 37.0365 2.43618
50 37.759 2.47666
51 35.9902 2.51676
52 28.5118 2.55648
53 35.5442 2.59581
54 40.2358 2.63474
55 34.0594 2.67327
56 39.6772 2.71139
57 36.6902 2.74909
58 42.6476 2.78637
59 42.9756 2.82323
60 36.5761 2.85966
61 35.6712 2.89564
62 43.2783 2.93119
63 47.591 2.96628
64 41.9955 3.00092
65 34.7519 3.03509
66 40.9715 3.06881
67 55.1734 3.10205
68 42.12 3.13481
69 32.1001 3.16709
70 42.8128 3.19889
71 31.8149 3.2302
72 44.9546 3.261
73 40.0434 3.29131
74 45.5714 3.32111
75 28.664 3.3504
76 38.433 3.37917
77 46.1693 3.40742
78 40.9657 3.43515
79 40.4945 3.46235
80 46.3819 3.48902
81 41.2006 3.51515
82 37.1884 3.54073
83 38.3891 3.56577
84 40.7476 3.59027
85 46.5727 3.6142
86 36.1331 3.63759
87 28.1528 3.66041
88 42.9597 3.68266
89 50.9264 3.70435
90 43.1492 3.72546
91 38.4435 3.746
92 33.6634 3.76597
93 30.144 3.78535
94 42.9069 3.80414
95 43.2275 3.82235
96 44.5154 3.83997
97 39.074 3.857
98 40.0386 3.87343
99 37.9235 3.88926
100 38.0899 3.9045
101 39.8964 3.91912
102 32.382 3.93315
103 37.8119 3.94656
104 33.5536 3.95937
105 30.7457 3.97156
106 43.8464 3.98314
107 50.18 3.99411
108 36.9359 4.00446
109 43.026 4.01419
110 37.7516 4.02329
111 36.544 4.03178
112 36.4451 4.03964
113 47.3859 4.04688
114 49.7272 4.05349
115 37.5719 4.05948
116 43.0405 4.06484
117 28.9143 4.06957
118 30.4461 4.07367
119 37.7121 4.07714
120 42.6275 4.07998
121 40.2443 4.08219
122 34.8075 4.08377
123 30.2268 4.08472
124 45.8386 4.08503
125 43.4211 4.08472
126 33.1842 4.08377
127 38.4765 4.08219
128 47.529 4.07998
129 23.4368 4.07714
130 16.7365 4.07367
131 29.3655 4.06957
132 24.2982 4.06484
133 19.3487 4.05948
134 29.3344 4.05349
135 35.1748 4.04688
136 31.7017 4.03964
137 36.2691 4.03178
138 24.5654 4.02329
139 24.7426 4.01418
140 27.2432 4.00445
141 31.9918 3.9941
142 27.591 3.98314
143 24.4734 3.97156
144 20.8059 3.95936
145 26.9539 3.94656
146 34.904 3.93314
147 31.884 3.91912
148 21.9057 3.90449
149 24.8613 3.88926
150 28.882 3.87342
151 20.0983 3.85699
152 33.7983 3.83997
153 19.5581 3.82235
154 17.6201 3.80414
155 12.8796 3.78534
156 31.0119 3.76596
157 14.1984 3.74599
158 5.25508 3.72545
159 13.6581 3.70434
160 9.77242 3.68265
161 14.5596 3.66039
162 10.205 3.63757
163 17.9589 3.61419
164 2.48562 3.59025
165 6.66623 3.56576
166 11.2921 3.54072
167 10.2949 3.51513
168 1.941 3.48901
169 8.64042 3.46234
170 4.83227 3.43514
171 12.8872 3.40741
172 5.59902 3.37916
173 5.22664 3.35038
174 4.8752 3.32109
175 8.86528 3.29129
176 6.73058 3.26099
177 2.98338 3.23018
178 11.8682 3.19888
179 8.51122 3.16708
180 -16.7958 3.1348
181 -8.6883 3.10203
182 -2.86105 3.06879
183 -5.0022 3.03508
184 -7.54997 3.0009
185 -12.5031 2.96626
186 -15.9775 2.93117
187 -11.2616 2.89562
188 -4.40374 2.85964
189 -16.53 2.82321
190 -8.67612 2.78636
191 -17.1736 2.74907
192 -12.2672 2.71137
193 -10.9598 2.67325
194 -17.0054 2.63472
195 -9.89206 2.59579
196 -21.1773 2.55646
197 -23.0289 2.51675
198 -8.97776 2.47664
199 -17.8214 2.43616
200 -21.3826 2.39531
201 -18.4164 2.3541
202 -23.8333 2.31253
203 -24.2681 2.2706
204 -22.5206 2.22833
205 -23.9605 2.18572
206 -12.5578 2.14278
207 -22.5484 2.09952
208 -26.7744 2.05593
209 -18.8375 2.01204
210 -19.3481 1.96784
211 -22.5159 1.92334
212 -30.9153 1.87856
213 -27.1133 1.83349
214 -23.018 1.78814
215 -16.7599 1.74253
216 -36.4905 1.69665
217 -22.2384 1.65052
218 -27.8079 1.60414
219 -25.307 1.55752
220 -29.5152 1.51067
221 -24.5046 1.46359
222 -18.6364 1.4163
223 -23.501 1.3688
224 -24.7005 1.32109
225 -28.3979 1.27319
226 -32.7082 1.2251
227 -33.0779 1.17683
228 -35.7813 1.12839
229 -38.6237 1.07978
230 -29.2342 1.03102
231 -40.2701 0.982105
232 -44.0952 0.93305
233 -51.2455 0.883862
234 -30.6235 0.834547
235 -34.9861 0.785114
236 -35.0715 0.73557
237 -33.8216 0.685924
238 -44.9052 0.636183
239 -47.1449 0.586355
240 -48.551 0.536447
241 -35.2105 0.486469
242 -49.3462 0.436427
243 -46.4284 0.386329
244 -37.8593 0.336184
245 -45.0368 0.285999
246 -44.2421 0.235782
247 -50.9763 0.185542
248 -49.908 0.135286
249 -48.0047 0.0850217
250 -52.8199 0.0347575
251 -44.7827 -0.0154987
252 -59.2291 -0.065739
253 -52.5646 -0.115956
254 -46.8618 -0.16614
255 -38.8395 -0.216285
256 -41.9249 -0.266383
257 -49.7849 -0.316425
258 -57.809 -0.366404
259 -56.2094 -0.416311
260 -64.6044 -0.466139
261 -51.099 -0.515881
262 -51.617 -0.565527
263 -55.1158 -0.61507
264 -56.3124 -0.664503
265 -54.4736 -0.713818
266 -60.4239 -0.763006
267 -57.7814 -0.812061
268 -68.8942 -0.860974
269 -47.9847 -0.909737
270 -54.6268 -0.958344
271 -59.2216 -1.00679
272 -56.4739 -1.05505
273 -57.9332 -1.10314
274 -55.1145 -1.15105
275 -71.2735 -1.19875
276 -64.3089 -1.24626
277 -65.769 -1.29355
278 -68.3377 -1.34062
279 -63.6298 -1.38748
280 -51.2098 -1.43409
281 -57.7046 -1.48047
282 -62.2607 -1.5266
283 -68.8609 -1.57248
284 -59.262 -1.61809
285 -72.4196 -1.66344
286 -62.6648 -1.70851
287 -75.6508 -1.7533
288 -60.5055 -1.79779
289 -67.4468 -1.84199
290 -71.0692 -1.88589
291 -64.7028 -1.92947
292 -67.749 -1.97273
293 -81.3776 -2.01567
294 -79.8105 -2.05828
295 -77.5063 -2.10055
296 -62.1173 -2.14248
297 -76.2322 -2.18405
298 -71.9167 -2.22527
299 -75.6946 -2.26612
300 -79.0289 -2.3066
301 -72.7474 -2.3467
302 -75.7139 -2.38641
303 -89.627 -2.42574
304 -71.4143 -2.46467
305 -85.8833 -2.5032
306 -76.449 -2.54132
307 -71.0005 -2.57902
308 -78.5759 -2.61631
309 -75.6484 -2.65316
310 -67.6405 -2.68959
311 -73.0915 -2.72557
312 -71.0719 -2.76112
313 -86.0392 -2.79621
314 -78.277 -2.83085
315 -66.4785 -2.86503
316 -85.2756 -2.89874
317 -68.0545 -2.93198
318 -70.7144 -2.96474
319 -88.4963 -2.99703
320 -82.9906 -3.02882
321 -75.211 -3.06013
322 -73.8396 -3.09094
323 -72.5749 -3.12124
324 -83.1507 -3.15104
325 -74.5281 -3.18033
326 -85.5579 -3.2091
327 -82.6642 -3.23736
328 -87.7662 -3.26508
329 -74.1753 -3.29228
330 -66.7226 -3.31895
331 -74.8022 -3.34508
332 -67.2477 -3.37067
333 -83.5691 -3.39571
334 -83.2481 -3.4202
335 -76.5233 -3.44414
336 -90.0075 -3.46752
337 -89.0751 -3.49034
338 -82.9223 -3.51259
339 -85.8535 -3.53428
340 -75.9097 -3.5554
341 -81.6523 -3.57594
342 -85.6101 -3.5959
343 -90.7127 -3.61528
344 -86.715 -3.63408
345 -81.3702 -3.65229
346 -84.9915 -3.66991
347 -99.2058 -3.68693
348 -83.3035 -3.70336
349 -101.1 -3.7192
350 -88.6037 -3.73443
351 -84.3565 -3.74906
352 -83.8963 -3.76308
353 -86.7078 -3.7765
354 -86.6596 -3.7893
355 -82.3915 -3.8015
356 -78.9264 -3.81308
357 -90.933 -3.82404
358 -84.2078 -3.83439
359 -87.0946 -3.84412
360 -92.3799 -3.85323
361 -82.0565 -3.86171
362 -75.4474 -3.86957
363 -96.4351 -3.87681
364 -79.2745 -3.88343
365 -78.3357 -3.88941
366 -83.4773 -3.89477
367 -77.9127 -3.8995
368 -73.9593 -3.9036
369 -79.4998 -3.90707
370 -74.3577 -3.90991
371 -73.0776 -3.91212
372 -76.8223 -3.9137
373 -86.1555 -3.91465
374 -75.7337 -3.91497
375 -82.6766 -3.91465
376 -74.5013 -3.9137
377 -72.5264 -3.91212
378 -76.2351 -3.90991
379 -77.3316 -3.90707
380 -61.3758 -3.9036
381 -81.862 -3.8995
382 -72.0798 -3.89477
383 -76.3265 -3.88941
384 -75.2981 -3.88342
385 -71.8186 -3.87681
386 -78.7323 -3.86957
387 -78.7205 -3.86171
388 -71.9407 -3.85322
389 -72.0478 -3.84411
390 -65.2451 -3.83438
391 -60.7285 -3.82404
392 -68.6289 -3.81307
393 -67.9698 -3.80149
394 -65.4069 -3.7893
395 -73.9014 -3.77649
396 -67.2045 -3.76307
397 -65.2581 -3.74905
398 -58.7228 -3.73442
399 -71.5102 -3.71919
400 -62.3685 -3.70336
401 -65.633 -3.68692
402 -73.9678 -3.6699
403 -60.7485 -3.65228
404 -74.1635 -3.63407
405 -57.581 -3.61527
406 -69.043 -3.59589
407 -65.6053 -3.57593
408 -65.3231 -3.55539
409 -52.0705 -3.53427
410 -55.9449 -3.51258
411 -68.9902 -3.49033
412 -60.0781 -3.46751
413 -64.1714 -3.44413
414 -59.9893 -3.42019
415 -51.1665 -3.3957
416 -55.6289 -3.37065
417 -63.6997 -3.34507
418 -58.8833 -3.31894
419 -55.7531 -3.29227
420 -48.6596 -3.26507
421 -57.7639 -3.23734
422 -44.6928 -3.20909
423 -47.205 -3.18032
424 -53.9259 -3.15103
425 -40.7722 -3.12123
426 -55.3769 -3.09092
427 -45.8777 -3.06011
428 -48.8726 -3.02881
429 -55.3233 -2.99701
430 -41.0611 -2.96473
431 -44.0124 -2.93196
432 -45.2232 -2.89872
433 -41.4523 -2.86501
434 -36.9459 -2.83083
435 -37.8003 -2.79619
436 -47.73 -2.7611
437 -38.8291 -2.72556
438 -40.7536 -2.68957
439 -43.9547 -2.65315
440 -37.2937 -2.61629
441 -42.6075 -2.579
442 -36.1086 -2.5413
443 -41.3231 -2.50318
444 -24.4434 -2.46465
445 -32.7782 -2.42572
446 -30.3602 -2.3864
447 -29.3998 -2.34668
448 -32.2789 -2.30658
449 -28.7264 -2.2661
450 -33.3007 -2.22525
451 -29.219 -2.18403
452 -36.6797 -2.14246
453 -25.2349 -2.10053
454 -31.3984 -2.05826
455 -24.8532 -2.01565
456 -23.4263 -1.97271
457 -18.8434 -1.92945
458 -18.6128 -1.88587
459 -25.5973 -1.84197
460 -17.534 -1.79777
461 -17.8384 -1.75328
462 -18.8448 -1.70849
463 -11.0515 -1.66342
464 -11.6255 -1.61807
465 -24.2048 -1.57246
466 -17.2615 -1.52658
467 -20.0466 -1.48045
468 -11.7566 -1.43407
469 -15.8284 -1.38745
470 -16.7183 -1.3406
471 2.53495 -1.29353
472 -13.9652 -1.24623
473 -11.958 -1.19873
474 -10.0241 -1.15102
475 -13.4503 -1.10312
476 -10.758 -1.05503
477 -4.61319 -1.00676
478 0.53778 -0.958321
479 -8.38356 -0.909714
480 -1.28073 -0.860951
481 -0.997663 -0.812038
482 13.4311 -0.762983
483 -9.31654 -0.713795
484 6.70316 -0.66448
485 7.80375 -0.615047
486 2.82898 -0.565503
487 4.74737 -0.515857
488 4.86123 -0.466116
489 15.8622 -0.416287
490 9.68362 -0.36638
491 12.0923 -0.316401
492 6.79019 -0.266359
493 10.3515 -0.216262
494 6.49241 -0.166117
495 10.6842 -0.115932
496 8.62356 -0.0657152
497 17.924 -0.0154748
498 29.1372 0.0347814
499 23.4149 0.0850455
500 19.1547 0.13531
501 12.0862 0.185566
502 3.82203 0.235806
503 12.882 0.286023
504 19.3963 0.336208
505 20.4758 0.386353
506 14.845 0.43645
507 18.4944 0.486492
508 13.2294 0.536471
509 23.2324 0.586378
510 24.1652 0.636207
511 28.7289 0.685948
512 26.288 0.735594
513 21.4509 0.785138
514 30.1596 0.834571
515 40.4163 0.883885
516 27.3497 0.933074
517 31.2859 0.982128
518 27.7389 1.03104
519 34.5488 1.0798
520 32.5942 1.12841
521 32.2762 1.17685
522 32.8992 1.22512
523 30.3202 1.27321
524 34.084 1.32111
525 36.9871 1.36882
526 31.8525 1.41632
527 39.8862 1.46362
528 36.6512 1.51069
529 33.8345 1.55754
530 41.1874 1.60416
531 37.7538 1.65054
532 31.3058 1.69667
533 51.8815 1.74255
534 42.9837 1.78816
535 53.2708 1.83351
536 44.3493 1.87858
537 46.3029 1.92336
538 44.134 1.96786
539 42.4049 2.01206
540 47.5425 2.05595
541 54.9275 2.09954
542 55.3484 2.1428
543 52.275 2.18574
544 43.1544 2.22835
545 44.0672 2.27062
546 48.5449 2.31255
547 47.2999 2.35412
548 39.1187 2.39533
549 43.7927 2.43618
550 40.7106 2.47666
551 43.0802 2.51676
552 46.3392 2.55648
553 58.2621 2.59581
554 59.4965 2.63474
555 57.4729 2.67327
556 57.9277 2.71139
557 56.4545 2.74909
558 55.1057 2.78637
559 43.268 2.82323
560 54.4997 2.85966
561 49.1038 2.89564
562 51.7766 2.93118
563 61.8953 2.96628
564 58.7295 3.00092
565 58.0223 3.03509
566 66.2458 3.06881
567 60.151 3.10205
568 52.0131 3.13481
569 58.4088 3.16709
570 59.6295 3.19889
571 60.2924 3.23019
572 51.1397 3.261
573 57.7575 3.29131
574 62.1097 3.32111
575 62.8282 3.3504
576 64.8806 3.37917
577 66.5248 3.40742
578 68.2812 3.43515
579 61.434 3.46235
580 53.0141 3.48902
581 58.976 3.51515
582 56.5855 3.54073
583 61.5291 3.56577
584 57.626 3.59027
585 57.4957 3.6142
586 64.7985 3.63758
587 56.0694 3.6604
588 52.2835 3.68266
589 65.5313 3.70435
590 64.6445 3.72546
591 64.6472 3.746
592 68.1887 3.76597
593 66.5235 3.78535
594 66.6337 3.80414
595 65.873 3.82235
596 52.3211 3.83997
597 55.8034 3.857
598 56.7794 3.87343
599 68.1446 3.88926
600 66.229 3.9045
601 65.48 3.91912
602 67.7106 3.93315
603 64.1726 3.94656
604 73.4452 3.95937
605 54.4345 3.97156
606 63.3121 3.98314
607 65.3512 3.99411
608 73.4217 4.00446
609 63.4958 4.01418
610 47.2695 4.02329
611 54.3272 4.03178
612 60.8431 4.03964
613 67.4056 4.04688
614 61.8494 4.05349
615 59.1658 4.05948
616 65.5202 4.06484
617 52.9805 4.06957
618 58.816 4.07367
619 70.016 4.07714
620 58.8464 4.07998
621 64.5786 4.08219
622 56.3901 4.08377
623 61.5259 4.08472
624 57.6219 4.08503
625 60.7926 4.08472
626 63.1368 4.08377
627 53.7028 4.08219
628 65.7771 4.07998
629 60.144 4.07714
630 61.1831 4.07367
631 62.9789 4.06957
632 52.6748 4.06484
633 59.8748 4.05948
634 64.5007 4.05349
635 46.9195 4.04688
636 57.3921 4.03964
637 59.3069 4.03178
638 40.3294 4.02329
639 51.5671 4.01418
640 55.4017 4.00445
641 60.8308 3.9941
642 56.5864 3.98314
643 51.7047 3.97156
644 57.1245 3.95936
645 53.8414 3.94656
646 58.0328 3.93314
647 56.3237 3.91912
648 55.8444 3.90449
649 37.4276 3.88926
650 41.3664 3.87342
651 43.9373 3.85699
652 53.1887 3.83997
653 48.6028 3.82235
654 43.0858 3.80414
655 49.74 3.78534
656 41.3815 3.76596
657 38.2209 3.74599
658 40.5826 3.72545
659 47.3715 3.70434
660 44.2008 3.68265
661 33.2993 3.66039
662 41.3704 3.63757
663 41.7213 3.61419
664 32.1189 3.59026
665 38.0633 3.56576
666 45.1813 3.54072
667 36.5613 3.51513
668 48.3234 3.48901
669 43.8318 3.46234
670 40.984 3.43514
