1036 0
0 15.3383 -0.27366
1 6.45383 -0.223378
2 12.5846 -0.173113
3 21.5286 -0.122871
4 14.823 -0.0726615
5 23.139 -0.0224915
6 24.517 0.027631
7 19.6353 0.0776978
8 21.5238 0.127701
9 27.1467 0.177633
10 27.7033 0.227486
11 26.8993 0.277251
12 19.3678 0.326922
13 34.4085 0.376489
14 29.889 0.425946
15 22.2863 0.475285
16 20.1584 0.524497
17 35.5236 0.573575
18 34.355 0.622511
19 31.7635 0.671297
20 36.6576 0.719926
21 43.658 0.76839
22 48.9695 0.816682
23 40.2531 0.864793
24 50.5909 0.912716
25 36.8786 0.960444
26 47.011 1.00797
27 47.891 1.05528
28 49.7449 1.10238
29 50.8524 1.14925
30 58.982 1.19589
31 55.3131 1.24228
32 48.0481 1.28843
33 54.0265 1.33433
34 68.5183 1.37996
35 64.0645 1.42533
36 65.5418 1.47041
37 56.8557 1.51522
38 53.5106 1.55973
39 48.751 1.60394
40 59.9903 1.64786
41 53.7808 1.69145
42 60.8256 1.73473
43 69.5214 1.77769
44 64.3555 1.82031
45 72.4146 1.86259
46 59.4134 1.90453
47 63.9922 1.94612
48 65.7346 1.98734
49 55.8226 2.02821
50 73.9141 2.0687
51 61.9398 2.10881
52 67.483 2.14853
53 73.6021 2.18787
54 68.2098 2.22681
55 79.0424 2.26534
56 63.2143 2.30347
57 64.5927 2.34118
58 67.606 2.37847
59 77.2588 2.41533
60 73.7711 2.45176
61 78.9633 2.48776
62 67.5294 2.5233
63 70.6524 2.5584
64 61.9898 2.59304
65 81.2356 2.62722
66 81.7411 2.66093
67 70.45 2.69417
68 84.0288 2.72694
69 64.9376 2.75922
70 71.0421 2.79102
71 61.6769 2.82232
72 75.8991 2.85312
73 74.9411 2.88343
74 74.8426 2.91322
75 65.88 2.94251
76 73.9562 2.97127
77 73.4503 2.99952
78 73.2037 3.02724
79 67.5948 3.05443
80 81.7805 3.08109
81 80.6245 3.10721
82 65.8281 3.13279
83 81.2184 3.15782
84 77.1798 3.1823
85 71.3492 3.20623
86 70.2505 3.22959
87 71.795 3.2524
88 72.7424 3.27464
89 73.7643 3.29631
90 87.3866 3.31741
91 74.1586 3.33794
92 78.932 3.35788
93 71.953 3.37725
94 76.5454 3.39603
95 76.7527 3.41422
96 71.1 3.43182
97 73.7585 3.44882
98 79.7724 3.46523
99 83.5363 3.48104
100 75.4286 3.49625
101 77.4177 3.51086
102 65.849 3.52486
103 79.1702 3.53825
104 75.9319 3.55103
105 69.3997 3.5632
106 56.4621 3.57475
107 78.0591 3.58569
108 78.2488 3.59601
109 70.649 3.60571
110 66.138 3.61479
111 64.6736 3.62324
112 70.4795 3.63107
113 72.0926 3.63828
114 70.4548 3.64486
115 74.4925 3.65081
116 69.7537 3.65614
117 78.3153 3.66083
118 84.1807 3.6649
119 69.0129 3.66833
120 69.3503 3.67114
121 69.9333 3.67331
122 65.6955 3.67485
123 72.1708 3.67576
124 68.6205 3.67604
125 64.6531 3.67568
126 62.2615 3.67469
127 62.04 3.67307
128 59.693 3.67082
129 69.9973 3.66794
130 54.9945 3.66442
131 62.6457 3.66028
132 70.0438 3.6555
133 63.1199 3.6501
134 70.9833 3.64407
135 62.4831 3.63741
136 59.3379 3.63012
137 60.9739 3.62221
138 56.3976 3.61368
139 49.8437 3.60452
140 63.2066 3.59475
