1016 0
0 -6.51093 -0.165303
1 7.81637 -0.115047
2 8.07156 -0.0648063
3 9.95373 -0.0145897
4 12.5913 0.0355951
5 -0.364969 0.0857402
6 0.203849 0.135838
7 2.41465 0.18588
8 11.2056 0.235858
9 12.5381 0.285766
10 -4.78529 0.335594
11 11.9045 0.385335
12 11.3314 0.434982
13 10.1264 0.484525
14 8.38932 0.533958
15 12.8074 0.583273
16 13.8098 0.632461
17 16.1321 0.681516
18 24.7236 0.730429
19 20.4427 0.779192
20 19.6755 0.827799
21 15.4255 0.87624
22 19.6919 0.92451
23 18.0631 0.972599
24 18.9729 1.0205
25 13.1533 1.06821
26 8.46915 1.11571
27 14.2327 1.163
28 31.5874 1.21008
29 15.4638 1.25693
30 22.33 1.30355
31 19.8949 1.34993
32 10.5763 1.39606
33 23.3338 1.44193
34 22.7914 1.48755
35 20.7005 1.5329
36 15.3175 1.57797
37 32.0182 1.62275
38 29.2136 1.66725
39 18.8774 1.71145
40 26.455 1.75534
41 21.6578 1.79892
42 28.5406 1.84219
43 30.3512 1.88513
44 30.4182 1.92774
45 38.0343 1.97001
46 30.8321 2.01193
47 25.1568 2.05351
48 35.9197 2.09472
49 26.8105 2.13557
50 25.1427 2.17605
51 38.843 2.21615
52 41.7351 2.25587
53 28.0261 2.2952
54 25.4168 2.33413
55 36.582 2.37266
56 39.2632 2.41077
57 42.5452 2.44848
58 43.7411 2.48576
59 34.0812 2.52262
60 37.9635 2.55904
61 29.962 2.59503
62 30.0448 2.63057
63 27.4974 2.66567
64 24.2019 2.70031
65 33.6251 2.73448
66 35.4506 2.7682
67 38.8372 2.80144
68 41.3885 2.8342
69 35.9783 2.86648
70 36.5678 2.89828
71 35.7644 2.92958
72 41.6053 2.96039
73 31.8987 2.9907
74 35.3392 3.0205
75 38.7325 3.04979
76 34.0293 3.07856
77 35.9573 3.10681
78 26.8707 3.13454
79 34.756 3.16174
80 42.3964 3.18841
81 40.5135 3.21454
82 34.3818 3.24012
83 27.7208 3.26516
84 36.2401 3.28966
85 30.1604 3.31359
86 27.2641 3.33698
87 32.6237 3.3598
88 23.6843 3.38205
89 27.1504 3.40374
90 34.7621 3.42485
91 40.4549 3.44539
92 36.6161 3.46536
93 37.6013 3.48474
94 28.3512 3.50353
95 14.7539 3.52174
96 19.8278 3.53936
97 25.2347 3.55639
98 28.4244 3.57282
99 18.3338 3.58865
100 32.1601 3.60389
101 24.3132 3.61852
102 35.6125 3.63254
103 25.8001 3.64595
104 23.463 3.65876
105 24.2038 3.67096
106 17.2788 3.68254
107 27.1055 3.6935
108 29.0058 3.70385
109 27.5228 3.71358
110 26.6639 3.72269
111 28.1015 3.73117
112 25.1346 3.73903
113 25.5355 3.74627
114 17.8232 3.75289
115 34.8733 3.75887
116 21.0245 3.76423
117 17.8534 3.76896
118 17.8171 3.77306
119 20.864 3.77653
120 33.6079 3.77937
121 22.7618 3.78158
122 23.7618 3.78316
123 33.9125 3.78411
124 14.9936 3.78443
125 14.0253 3.78411
126 18.8074 3.78316
127 21.7739 3.78158
128 22.4892 3.77937
129 22.8951 3.77653
130 16.4322 3.77306
131 16.7675 3.76896
132 23.8853 3.76423
133 20.5793 3.75887
134 11.3202 3.75288
135 14.2786 3.74627
136 7.94173 3.73903
137 19.2925 3.73117
138 18.3785 3.72268
139 28.3968 3.71357
140 8.6864 3.70385
141 6.96296 3.6935
